alpha beta ele Cl
-20 -30 -25 -0.0045
-15 -30 -25 -0.0031
-10 -30 -25 -0.0009
-5 -30 -25 0.0299
0 -30 -25 0.0276
5 -30 -25 0.0386
10 -30 -25 0.056
15 -30 -25 0.0731
20 -30 -25 0.0763
25 -30 -25 0.091
30 -30 -25 0.0747
35 -30 -25 0.0578
40 -30 -25 0.0624
45 -30 -25 0.0778
50 -30 -25 0.0592
55 -30 -25 0.0523
60 -30 -25 0.0588
70 -30 -25 0.0742
80 -30 -25 0.0632
90 -30 -25 0.0608
-20 -25 -25 0.008
-15 -25 -25 0.0076
-10 -25 -25 0.0119
-5 -25 -25 0.0246
0 -25 -25 0.0285
5 -25 -25 0.0333
10 -25 -25 0.0556
15 -25 -25 0.0664
20 -25 -25 0.071
25 -25 -25 0.0713
30 -25 -25 0.0433
35 -25 -25 0.0404
40 -25 -25 0.0564
45 -25 -25 0.0553
50 -25 -25 0.0555
55 -25 -25 0.0393
60 -25 -25 0.0391
70 -25 -25 0.0632
80 -25 -25 0.0525
90 -25 -25 0.0467
-20 -20 -25 0.0148
-15 -20 -25 0.0195
-10 -20 -25 0.0197
-5 -20 -25 0.0234
0 -20 -25 0.0262
5 -20 -25 0.0325
10 -20 -25 0.0538
15 -20 -25 0.0623
20 -20 -25 0.0656
25 -20 -25 0.0627
30 -20 -25 0.0105
35 -20 -25 0.0327
40 -20 -25 0.0312
45 -20 -25 0.0334
50 -20 -25 0.0456
55 -20 -25 0.0327
60 -20 -25 0.0314
70 -20 -25 0.053
80 -20 -25 0.0423
90 -20 -25 0.037
-20 -15 -25 0.0232
-15 -15 -25 0.0259
-10 -15 -25 0.0208
-5 -15 -25 0.0212
0 -15 -25 0.0225
5 -15 -25 0.0278
10 -15 -25 0.0453
15 -15 -25 0.0562
20 -15 -25 0.0553
25 -15 -25 0.0513
30 -15 -25 0.0114
35 -15 -25 0.0058
40 -15 -25 0.0091
45 -15 -25 0.0224
50 -15 -25 0.0327
55 -15 -25 0.021
60 -15 -25 0.0208
70 -15 -25 0.022
80 -15 -25 0.0327
90 -15 -25 0.026
-20 -10 -25 0.0283
-15 -10 -25 0.0204
-10 -10 -25 0.0152
-5 -10 -25 0.0179
0 -10 -25 0.0189
5 -10 -25 0.0236
10 -10 -25 0.0344
15 -10 -25 0.0433
20 -10 -25 0.0456
25 -10 -25 0.0397
30 -10 -25 0.0029
35 -10 -25 -0.0059
40 -10 -25 0.0036
45 -10 -25 0.014
50 -10 -25 0.0156
55 -10 -25 0.0067
60 -10 -25 0.0115
70 -10 -25 0.025
80 -10 -25 0.022
90 -10 -25 0.022
-20 -8 -25 0.0253
-15 -8 -25 0.0174
-10 -8 -25 0.0124
-5 -8 -25 0.0145
0 -8 -25 0.0151
5 -8 -25 0.0191
10 -8 -25 0.0283
15 -8 -25 0.0355
20 -8 -25 0.0379
25 -8 -25 0.0331
30 -8 -25 0.0156
35 -8 -25 -0.0146
40 -8 -25 0.0051
45 -8 -25 0.013
50 -8 -25 0.0133
55 -8 -25 0.0094
60 -8 -25 0.01
70 -8 -25 0.0219
80 -8 -25 0.0185
90 -8 -25 0.019
-20 -6 -25 0.0234
-15 -6 -25 0.0147
-10 -6 -25 0.0112
-5 -6 -25 0.0114
0 -6 -25 0.0112
5 -6 -25 0.0138
10 -6 -25 0.0216
15 -6 -25 0.0266
20 -6 -25 0.0286
25 -6 -25 0.0261
30 -6 -25 0.0184
35 -6 -25 -0.0143
40 -6 -25 0.0115
45 -6 -25 0.0081
50 -6 -25 0.0116
55 -6 -25 0.0112
60 -6 -25 0.0084
70 -6 -25 0.0153
80 -6 -25 0.0185
90 -6 -25 0.0154
-20 -4 -25 0.0194
-15 -4 -25 0.0123
-10 -4 -25 0.008
-5 -4 -25 0.0073
