alpha beta Cl_a20
-20 -30 -0.0499
-15 -30 -0.0476
-10 -30 -0.0452
-5 -30 -0.0344
0 -30 -0.0404
5 -30 -0.0251
10 -30 -0.0031
15 -30 0.0158
20 -30 0.0074
25 -30 0.0296
30 -30 0.0404
35 -30 0.0309
40 -30 0.0419
45 -30 0.0579
50 -30 0.0415
55 -30 0.0467
60 -30 0.049
70 -30 0.0405
80 -30 0.0616
90 -30 0.0706
-20 -25 -0.0325
-15 -25 -0.0346
-10 -25 -0.0339
-5 -25 -0.0303
0 -25 -0.0372
5 -25 -0.0256
10 -25 -0.0026
15 -25 0.0145
20 -25 0.0045
25 -25 0.0258
30 -25 0.0081
35 -25 0.0126
40 -25 0.0253
45 -25 0.0418
50 -25 0.0304
55 -25 0.0291
60 -25 0.0323
70 -25 0.0396
80 -25 0.0483
90 -25 0.0522
-20 -20 -0.0184
-15 -20 -0.0215
-10 -20 -0.0272
-5 -20 -0.0258
0 -20 -0.0327
5 -20 -0.0241
10 -20 -0.0027
15 -20 0.0121
20 -20 0.0038
25 -20 0.0237
30 -20 -0.0149
35 -20 0.002
40 -20 0.0041
45 -20 0.0181
50 -20 0.021
55 -20 0.0239
60 -20 0.0267
70 -20 0.0286
80 -20 0.0387
90 -20 0.04
-20 -15 -0.0113
-15 -15 -0.0132
-10 -15 -0.0245
-5 -15 -0.023
0 -15 -0.0302
5 -15 -0.0252
10 -15 -0.0091
15 -15 0.0063
20 -15 0.0063
25 -15 0.0157
30 -15 -0.0074
35 -15 -0.0246
40 -15 -0.0183
45 -15 0.011
50 -15 0.0194
55 -15 0.018
60 -15 0.0182
70 -15 0.0184
80 -15 0.0293
90 -15 0.0317
-20 -10 -0.0023
-15 -10 -0.018
-10 -10 -0.025
-5 -10 -0.0242
0 -10 -0.0323
5 -10 -0.0297
10 -10 -0.0185
15 -10 -0.0068
20 -10 0.0026
25 -10 0.0046
30 -10 -0.0196
35 -10 -0.0223
40 -10 -0.0154
45 -10 0.0035
50 -10 0.0072
55 -10 0.0083
60 -10 0.0089
70 -10 0.007
80 -10 0.0161
90 -10 0.0182
-20 -8 -0.0059
-15 -8 -0.0211
-10 -8 -0.0259
-5 -8 -0.027
0 -8 -0.0342
5 -8 -0.0334
10 -8 -0.0235
15 -8 -0.0135
20 -8 -0.0053
25 -8 -0.0025
30 -8 -0.0105
35 -8 -0.0246
40 -8 -0.0061
45 -8 0.0019
50 -8 0.0061
55 -8 0.0054
60 -8 0.0046
70 -8 0.007
80 -8 0.0127
90 -8 0.0143
-20 -6 -0.0125
-15 -6 -0.0246
-10 -6 -0.0267
-5 -6 -0.0301
0 -6 -0.0373
5 -6 -0.0378
10 -6 -0.0301
15 -6 -0.0214
20 -6 -0.0137
25 -6 -0.0105
30 -6 -0.0122
35 -6 -0.0172
40 -6 -0.0014
45 -6 0
50 -6 0.0046
55 -6 0.0013
60 -6 -0.0005
70 -6 -0.0035
80 -6 0.0091
90 -6 0.0105
-20 -4 -0.0116
-15 -4 -0.0248
-10 -4 -0.0292
-5 -4 -0.0334
0 -4 -0.0414
