alpha beta Cl_a20_lef
-20 -30 -0.0522
-15 -30 -0.0462
-10 -30 -0.0487
-5 -30 -0.0419
0 -30 -0.0295
5 -30 -0.0165
10 -30 0.0048
15 -30 -0.0069
20 -30 0.0156
25 -30 0.0308
30 -30 0.038
35 -30 0.0232
40 -30 0.0436
45 -30 0.0499
-20 -25 -0.0388
-15 -25 -0.045
-10 -25 -0.0476
-5 -25 -0.0447
0 -25 -0.0292
5 -25 -0.0188
10 -25 0.0017
15 -25 -0.0068
20 -25 0.0048
25 -25 0.0244
30 -25 0.0302
35 -25 0.0189
40 -25 0.0345
45 -25 0.045
-20 -20 -0.0295
-15 -20 -0.044
-10 -20 -0.0407
-5 -20 -0.0428
0 -20 -0.0307
5 -20 -0.0174
10 -20 -0.0026
15 -20 -0.0063
20 -20 0.0053
25 -20 0.0078
30 -20 0.0149
35 -20 0.0168
40 -20 0.0217
45 -20 0.035
-20 -15 -0.019
-15 -15 -0.0419
-10 -15 -0.0409
-5 -15 -0.0407
0 -15 -0.0313
5 -15 -0.0204
10 -15 -0.0198
15 -15 -0.0089
20 -15 0.0037
25 -15 -0.0102
30 -15 0.0016
35 -15 -0.0049
40 -15 0.0087
45 -15 0.0263
-20 -10 -0.0133
-15 -10 -0.0373
-10 -10 -0.0382
-5 -10 -0.0446
0 -10 -0.0354
5 -10 -0.0271
10 -10 -0.0179
15 -10 -0.0156
20 -10 -0.0065
25 -10 -0.0021
30 -10 -0.008
35 -10 -0.0121
40 -10 0.0033
45 -10 0.0128
-20 -8 -0.0214
-15 -8 -0.0351
-10 -8 -0.0361
-5 -8 -0.0458
0 -8 -0.0387
5 -8 -0.0316
10 -8 -0.0221
15 -8 -0.0195
20 -8 -0.0075
25 -8 -0.0006
30 -8 -0.0039
35 -8 -0.0153
40 -8 0.0121
45 -8 0.0097
-20 -6 -0.023
-15 -6 -0.0328
-10 -6 -0.0375
-5 -6 -0.0469
0 -6 -0.041
5 -6 -0.0364
10 -6 -0.0277
15 -6 -0.0265
20 -6 -0.01
25 -6 -0.0086
30 -6 -0.0111
35 -6 -0.0107
