alpha beta Cl_lef
-20 -30 -0.0191
-15 -30 -0.0055
-10 -30 -0.0076
-5 -30 0.01
0 -30 0.0236
5 -30 0.0388
10 -30 0.0497
15 -30 0.0451
20 -30 0.0548
25 -30 0.0728
30 -30 0.0736
35 -30 0.0469
40 -30 0.0618
45 -30 0.0551
-20 -25 -0.0156
-15 -25 -0.0037
-10 -25 -0.0056
-5 -25 0.0096
0 -25 0.023
5 -25 0.0359
10 -25 0.0475
15 -25 0.0451
20 -25 0.0403
25 -25 0.057
30 -25 0.0616
35 -25 0.042
40 -25 0.0498
45 -25 0.0544
-20 -20 -0.0062
-15 -20 -0.0002
-10 -20 0.0004
-5 -20 0.0098
0 -20 0.0222
5 -20 0.0351
10 -20 0.0442
15 -20 0.0439
20 -20 0.0358
25 -20 0.0368
30 -20 0.0412
35 -20 0.0363
40 -20 0.0402
45 -20 0.0402
-20 -15 0.0061
-15 -15 0.0038
-10 -15 0.0023
-5 -15 0.0097
0 -15 0.0202
5 -15 0.0313
10 -15 0.0359
15 -15 0.0409
20 -15 0.0277
25 -15 0.0218
30 -15 0.0219
35 -15 0.0131
40 -15 0.0236
45 -15 0.0357
-20 -10 0.0164
-15 -10 0.0011
-10 -10 0.0039
-5 -10 0.0087
0 -10 0.0166
5 -10 0.0246
10 -10 0.0275
15 -10 0.0286
20 -10 0.0226
25 -10 0.023
30 -10 0.009
35 -10 0.0019
40 -10 0.0157
45 -10 0.023
-20 -8 0.0148
-15 -8 0.0003
-10 -8 0.0027
-5 -8 0.0067
0 -8 0.0132
5 -8 0.02
10 -8 0.0225
15 -8 0.023
20 -8 0.0209
25 -8 0.02
30 -8 0.0117
35 -8 0.001
40 -8 0.0219
45 -8 0.0209
-20 -6 0.0022
-15 -6 0.0027
-10 -6 0.0021
-5 -6 0.0046
0 -6 0.0096
5 -6 0.0147
10 -6 0.0167
15 -6 0.0161
20 -6 0.0163
25 -6 0.0172
30 -6 0.0122
35 -6 0.0058
40 -6 0.0256
45 -6 0.0179
-20 -4 0.0027
-15 -4 0.0044
-10 -4 0.0011
-5 -4 0.0024
0 -4 0.0058
5 -4 0.0098
10 -4 0.0112
15 -4 0.0102
20 -4 0.0126
25 -4 0.0117
30 -4 0.0078
35 -4 0.0011
40 -4 0.0173
45 -4 0.0128
-20 -2 0.0041
-15 -2 0.0024
-10 -2 0.0005
-5 -2 0.0006
0 -2 0.0027
5 -2 0.0047
10 -2 0.0058
15 -2 0.0041
20 -2 0.0073
25 -2 0.0058
30 -2 0.0059
35 -2 -0.0037
40 -2 0.0173
45 -2 0.007
-20 0 0.0014
-15 0 0.0005
-10 0 0.0005
-5 0 -0.0006
0 0 -0.0002
5 0 -0.0002
10 0 0.0012
15 0 -0.0011
20 0 0.0068
25 0 -0.0003
30 0 -0.0016
35 0 -0.0059
40 0 0.0063
45 0 0.0051
-20 2 0.0002
-15 2 -0.001
-10 2 0.0002
-5 2 -0.0016
0 2 -0.0029
5 2 -0.0051
10 2 -0.0036
15 2 -0.0067
20 2 0.0008
25 2 -0.0061
30 2 -0.0079
35 2 -0.0045
40 2 -0.0011
45 2 -0.0067
-20 4 -0.0017
-15 4 -0.0025
-10 4 -0.0003
-5 4 -0.0033
0 4 -0.006
5 4 -0.0102
10 4 -0.0103
15 4 -0.0134
20 4 -0.0049
25 4 -0.0131
30 4 -0.0111
35 4 -0.0116
40 4 -0.0063
45 4 -0.0073
-20 6 -0.004
-15 6 -0.0034
-10 6 -0.0006
-5 6 -0.005
0 6 -0.0096
5 6 -0.0151
10 6 -0.0163
15 6 -0.0198
20 6 -0.0107
25 6 -0.0186
30 6 -0.0126
35 6 -0.0135
40 6 -0.0131
45 6 -0.0099
-20 8 -0.0037
-15 8 -0.0023
-10 8 -0.0015
-5 8 -0.0071
0 8 -0.0136
5 8 -0.0208
10 8 -0.0215
15 8 -0.0259
20 8 -0.0115
25 8 -0.0189
30 8 -0.0117
35 8 -0.0136
40 8 -0.015
45 8 -0.0122
-20 10 -0.004
-15 10 0.0002
-10 10 -0.0021
-5 10 -0.0093
0 10 -0.0166
5 10 -0.0252
10 10 -0.0266
15 10 -0.0315
20 10 -0.0135
25 10 -0.0263
30 10 -0.0167
35 10 -0.015
40 10 -0.019
45 10 -0.0163
-20 15 0.005
-15 15 -0.0019
-10 15 -0.0002
-5 15 -0.0106
0 15 -0.0202
5 15 -0.0319
10 15 -0.0348
15 15 -0.038
20 15 -0.0182
25 15 -0.0251
30 15 -0.0296
35 15 -0.0262
40 15 -0.0269
45 15 -0.029
-20 20 0.0173
-15 20 0.0028
-10 20 0.0012
-5 20 -0.0109
0 20 -0.0222
5 20 -0.0357
10 20 -0.0431
15 20 -0.041
20 20 -0.0267
25 20 -0.0401
30 20 -0.0489
35 20 -0.0494
40 20 -0.0435
45 20 -0.0335
-20 25 0.027
-15 25 0.0057
-10 25 0.0076
-5 25 -0.0108
0 25 -0.023
5 25 -0.0365
10 25 -0.0464
15 25 -0.0422
20 25 -0.031
25 25 -0.0613
30 25 -0.0693
35 25 -0.0551
40 25 -0.0531
45 25 -0.0477
-20 30 0.0311
-15 30 0.0077
-10 30 0.0098
-5 30 -0.0112
0 30 -0.0236
5 30 -0.0394
10 30 -0.0486
15 30 -0.0422
20 30 -0.0453
25 30 -0.0761
30 30 -0.0813
35 30 -0.06
40 30 -0.0651
45 30 -0.0484
