alpha beta Cl_r30
-20 -30 -0.01
-15 -30 -0.0062
-10 -30 -0.0054
-5 -30 0.026
0 -30 0.0291
5 -30 0.041
10 -30 0.0638
15 -30 0.082
20 -30 0.109
25 -30 0.093
30 -30 0.082
35 -30 0.064
40 -30 0.0584
45 -30 0.0825
50 -30 0.0536
55 -30 0.058
60 -30 0.06
70 -30 0.0656
80 -30 0.068
90 -30 0.066
-20 -25 0.0057
-15 -25 0.0064
-10 -25 0.0058
-5 -25 0.0316
0 -25 0.0328
5 -25 0.043
10 -25 0.0638
15 -25 0.077
20 -25 0.093
25 -25 0.0836
30 -25 0.0505
35 -25 0.055
40 -25 0.0577
45 -25 0.0635
50 -25 0.0446
55 -25 0.043
60 -25 0.0448
70 -25 0.055
80 -25 0.057
90 -25 0.0532
-20 -20 0.0178
-15 -20 0.0192
-10 -20 0.0172
-5 -20 0.0342
0 -20 0.0338
5 -20 0.043
10 -20 0.0624
15 -20 0.073
20 -20 0.081
25 -20 0.0716
30 -20 0.0236
35 -20 0.033
40 -20 0.036
45 -20 0.0405
50 -20 0.0302
55 -20 0.0325
60 -20 0.035
70 -20 0.044
80 -20 0.045
90 -20 0.039
-20 -15 0.0291
-15 -15 0.0249
-10 -15 0.0212
-5 -15 0.033
0 -15 0.0329
5 -15 0.0394
10 -15 0.055
15 -15 0.0653
20 -15 0.071
25 -15 0.0609
30 -15 0.017
35 -15 0.0033
40 -15 0.0088
45 -15 0.0319
50 -15 0.025
55 -15 0.026
60 -15 0.027
70 -15 0.033
80 -15 0.0341
90 -15 0.0269
-20 -10 0.0365
-15 -10 0.0258
-10 -10 0.024
-5 -10 0.031
0 -10 0.0293
5 -10 0.033
10 -10 0.044
15 -10 0.0518
20 -10 0.0532
25 -10 0.0447
30 -10 0.0047
35 -10 -0.0018
40 -10 0.0047
45 -10 0.0229
50 -10 0.0164
55 -10 0.0161
60 -10 0.0182
70 -10 0.0229
80 -10 0.0219
90 -10 0.0174
-20 -8 0.0364
-15 -8 0.0263
-10 -8 0.0255
-5 -8 0.0311
0 -8 0.0298
5 -8 0.0314
10 -8 0.0399
15 -8 0.0481
20 -8 0.0476
25 -8 0.0425
30 -8 0.0242
35 -8 -0.0037
40 -8 0.0092
45 -8 0.02
50 -8 0.0162
55 -8 0.0143
60 -8 0.0157
70 -8 0.0206
80 -8 0.0183
90 -8 0.0156
-20 -6 0.0336
-15 -6 0.0271
-10 -6 0.0268
-5 -6 0.0289
0 -6 0.0261
5 -6 0.0271
10 -6 0.0341
15 -6 0.041
20 -6 0.0414
25 -6 0.0367
30 -6 0.0271
35 -6 0.0099
40 -6 0.0143
45 -6 0.0229
50 -6 0.0156
55 -6 0.012
60 -6 0.013
70 -6 0.0162
80 -6 0.0116
90 -6 0.0102
-20 -4 0.0316
-15 -4 0.0243
-10 -4 0.0246
-5 -4 0.0252
0 -4 0.022
5 -4 0.023
10 -4 0.0278
15 -4 0.0328
20 -4 0.0315
25 -4 0.0307
30 -4 0.0246
35 -4 0.0121
40 -4 0.014
45 -4 0.0236
50 -4 0.0124
55 -4 0.0081
60 -4 0.0077
70 -4 0.0112
80 -4 0.0118
90 -4 0.0089
-20 -2 0.0251
-15 -2 0.0213
-10 -2 0.0205
-5 -2 0.0204
0 -2 0.0181
5 -2 0.0183
10 -2 0.0207
15 -2 0.0227
20 -2 0.0227
25 -2 0.0228
30 -2 0.0215
35 -2 0.0076
40 -2 0.0129
45 -2 0.0139
50 -2 0.0087
55 -2 0.0064
60 -2 0.0048
70 -2 0.0039
80 -2 0.0063
90 -2 0.0069
-20 0 0.0216
-15 0 0.0192
-10 0 0.0187
-5 0 0.0153
0 0 0.0145
5 0 0.0138
10 0 0.0135
15 0 0.0134
20 0 0.0139
25 0 0.0145
30 0 0.0128
35 0 0.0012
40 0 0.003
45 0 0.0013
50 0 0.0033
55 0 0.0014
60 0 -0.0012
70 0 -0.0005
80 0 -0.0005
90 0 0.0008
-20 2 0.0159
-15 2 0.0168
-10 2 0.0172
-5 2 0.0111
0 2 0.0111
5 2 0.0097
10 2 0.0071
15 2 0.0046
20 2 0.0058
25 2 0.0049
30 2 0.0082
35 2 0.0007
40 2 -0.0006
45 2 0.0017
50 2 -0.0035
55 2 -0.0039
60 2 -0.0055
70 2 -0.0023
80 2 -0.0045
90 2 -0.003
-20 4 0.0154
-15 4 0.0149
-10 4 0.0131
-5 4 0.0072
0 4 0.0078
5 4 0.0056
10 4 0.0004
15 4 -0.0045
20 4 -0.003
25 4 -0.0032
30 4 0.0012
35 4 0
40 4 -0.0053
45 4 -0.0056
50 4 -0.0074
55 4 -0.0069
60 4 -0.0078
70 4 -0.0077
80 4 -0.0065
90 4 -0.0051
-20 6 0.0142
-15 6 0.0121
-10 6 0.0113
-5 6 0.0031
0 6 0.0035
5 6 0.0008
10 6 -0.0071
15 6 -0.0143
20 6 -0.012
25 6 -0.0118
30 6 -0.0052
35 6 -0.001
40 6 -0.0073
45 6 -0.0091
50 6 -0.0137
55 6 -0.0138
60 6 -0.014
70 6 -0.0125
80 6 -0.0108
90 6 -0.0074
-20 8 0.01
-15 8 0.0109
-10 8 0.0098
-5 8 -0.001
0 8 -0.001
5 8 -0.0045
10 8 -0.0138
15 8 -0.0239
20 8 -0.0231
25 8 -0.0212
30 8 -0.0092
35 8 -0.0015
40 8 -0.0088
45 8 -0.0109
50 8 -0.0143
55 8 -0.0161
60 8 -0.0172
70 8 -0.0165
80 8 -0.0162
90 8 -0.0132
-20 10 0.0005
-15 10 0.0066
-10 10 0.0047
-5 10 -0.0047
0 10 -0.0054
5 10 -0.0087
10 10 -0.0201
15 10 -0.032
20 10 -0.0324
25 10 -0.0302
30 10 -0.0165
35 10 -0.0033
40 10 -0.011
45 10 -0.0174
50 10 -0.0195
55 10 -0.0194
60 10 -0.0202
70 10 -0.0209
80 10 -0.0173
90 10 -0.0156
-20 15 0.0079
-15 15 0.0076
-10 15 0.0076
-5 15 -0.0068
0 15 -0.0087
5 15 -0.0152
10 15 -0.0309
15 15 -0.0454
20 15 -0.0501
25 15 -0.0466
30 15 -0.0291
35 15 -0.0085
40 15 -0.0143
45 15 -0.0263
50 15 -0.0279
55 15 -0.0281
60 15 -0.029
70 15 -0.0308
80 15 -0.0292
90 15 -0.0247
-20 20 0.0191
-15 20 0.015
-10 20 0.0115
-5 20 -0.0079
0 20 -0.0093
5 20 -0.0183
10 20 -0.0383
15 20 -0.053
20 20 -0.0598
25 20 -0.0571
30 20 -0.0358
35 20 -0.0379
40 20 -0.0426
45 20 -0.0349
50 20 -0.0332
55 20 -0.0347
60 20 -0.0375
70 20 -0.042
80 20 -0.0401
90 20 -0.0368
-20 25 0.0311
-15 25 0.0275
-10 25 0.023
-5 25 -0.005
0 25 -0.008
5 25 -0.0183
10 25 -0.0397
15 25 -0.057
20 25 -0.0719
25 25 -0.069
30 25 -0.0625
35 25 -0.06
40 25 -0.0641
