alpha beta ele Cm
-20 -30 -25 0.2059
-15 -30 -25 0.1698
-10 -30 -25 0.1426
-5 -30 -25 0.162
0 -30 -25 0.153
5 -30 -25 0.147
10 -30 -25 0.15
15 -30 -25 0.167
20 -30 -25 0.151
25 -30 -25 0.12
30 -30 -25 0.108
35 -30 -25 0.082
40 -30 -25 0.113
45 -30 -25 0.093
50 -30 -25 -0.015
55 -30 -25 0.019
60 -30 -25 -0.036
70 -30 -25 -0.307
80 -30 -25 -0.365
90 -30 -25 -0.526
-20 -25 -25 0.1937
-15 -25 -25 0.165
-10 -25 -25 0.1579
-5 -25 -25 0.177
0 -25 -25 0.154
5 -25 -25 0.153
10 -25 -25 0.162
15 -25 -25 0.176
20 -25 -25 0.17
25 -25 -25 0.147
30 -25 -25 0.067
35 -25 -25 0.047
40 -25 -25 0.05
45 -25 -25 0.066
50 -25 -25 -0.011
55 -25 -25 0.017
60 -25 -25 -0.023
70 -25 -25 -0.308
80 -25 -25 -0.398
90 -25 -25 -0.527
-20 -20 -25 0.1918
-15 -20 -25 0.1733
-10 -20 -25 0.1807
-5 -20 -25 0.153
0 -20 -25 0.148
5 -20 -25 0.156
10 -20 -25 0.165
15 -20 -25 0.191
20 -20 -25 0.19
25 -20 -25 0.175
30 -20 -25 0.098
35 -20 -25 0.068
40 -20 -25 0.06
45 -20 -25 0.065
50 -20 -25 -0.025
55 -20 -25 -0.086
60 -20 -25 -0.075
70 -20 -25 -0.285
80 -20 -25 -0.403
90 -20 -25 -0.515
-20 -15 -25 0.185
-15 -15 -25 0.1723
-10 -15 -25 0.1641
-5 -15 -25 0.145
0 -15 -25 0.145
5 -15 -25 0.157
10 -15 -25 0.17
15 -15 -25 0.196
20 -15 -25 0.202
25 -15 -25 0.194
30 -15 -25 0.15
35 -15 -25 0.081
40 -15 -25 0.087
45 -15 -25 0.053
50 -15 -25 0.015
55 -15 -25 -0.004
60 -15 -25 -0.06
70 -15 -25 -0.305
80 -15 -25 -0.387
90 -15 -25 -0.504
-20 -10 -25 0.1692
-15 -10 -25 0.1533
-10 -10 -25 0.1533
-5 -10 -25 0.138
0 -10 -25 0.1445
5 -10 -25 0.1586
10 -10 -25 0.1746
15 -10 -25 0.2
20 -10 -25 0.2073
25 -10 -25 0.2043
30 -10 -25 0.1704
35 -10 -25 0.1174
40 -10 -25 0.1131
45 -10 -25 0.0734
50 -10 -25 0.0663
55 -10 -25 0.0794
60 -10 -25 -0.0627
70 -10 -25 -0.2769
80 -10 -25 -0.3411
90 -10 -25 -0.49
-20 -8 -25 0.1693
-15 -8 -25 0.1618
-10 -8 -25 0.1586
-5 -8 -25 0.1365
0 -8 -25 0.1438
5 -8 -25 0.1595
10 -8 -25 0.1758
15 -8 -25 0.2012
20 -8 -25 0.2098
25 -8 -25 0.2028
30 -8 -25 0.193
35 -8 -25 0.1233
40 -8 -25 0.1279
45 -8 -25 0.0914
50 -8 -25 0.0644
55 -8 -25 0.0494
60 -8 -25 -0.0705
70 -8 -25 -0.2648
80 -8 -25 -0.3344
90 -8 -25 -0.5157
-20 -6 -25 0.177
-15 -6 -25 0.1639
-10 -6 -25 0.1595
-5 -6 -25 0.1329
0 -6 -25 0.143
5 -6 -25 0.1585
10 -6 -25 0.1768
15 -6 -25 0.2041
20 -6 -25 0.2122
25 -6 -25 0.2028
30 -6 -25 0.1985
35 -6 -25 0.1522
40 -6 -25 0.1341
45 -6 -25 0.0968
50 -6 -25 0.0498
55 -6 -25 0.0174
60 -6 -25 -0.0556
70 -6 -25 -0.1828
80 -6 -25 -0.3425
90 -6 -25 -0.4801
-20 -4 -25 0.1746
-15 -4 -25 0.1607
-10 -4 -25 0.1629
-5 -4 -25 0.1269
0 -4 -25 0.1411
5 -4 -25 0.1577
10 -4 -25 0.1778
15 -4 -25 0.2062
20 -4 -25 0.2129
25 -4 -25 0.1991
30 -4 -25 0.2009
35 -4 -25 0.1713
40 -4 -25 0.1433
45 -4 -25 0.0848
50 -4 -25 0.0407
55 -4 -25 0.053
60 -4 -25 -0.0534
70 -4 -25 -0.2115
80 -4 -25 -0.3455
90 -4 -25 -0.497
-20 -2 -25 0.1742
-15 -2 -25 0.1597
-10 -2 -25 0.1615
-5 -2 -25 0.1242
0 -2 -25 0.1412
5 -2 -25 0.158
10 -2 -25 0.1833
15 -2 -25 0.2069
20 -2 -25 0.2137
25 -2 -25 0.1981
30 -2 -25 0.2022
35 -2 -25 0.1789
40 -2 -25 0.1483
45 -2 -25 0.0935
50 -2 -25 0.0521
55 -2 -25 0.0292
60 -2 -25 -0.0549
70 -2 -25 -0.2032
80 -2 -25 -0.3254
90 -2 -25 -0.4831
-20 0 -25 0.175
-15 0 -25 0.1584
-10 0 -25 0.159
-5 0 -25 0.1216
0 0 -25 0.1409
5 0 -25 0.158
10 0 -25 0.1845
15 0 -25 0.2087
20 0 -25 0.2152
25 0 -25 0.1978
30 0 -25 0.2022
35 0 -25 0.1814
40 0 -25 0.1478
45 0 -25 0.0922
50 0 -25 0.0745
55 0 -25 0.0713
60 0 -25 -0.054
70 0 -25 -0.2244
80 0 -25 -0.3389
90 0 -25 -0.4723
-20 2 -25 0.1721
-15 2 -25 0.1589
-10 2 -25 0.1566
-5 2 -25 0.1183
0 2 -25 0.141
5 2 -25 0.1591
10 2 -25 0.184
15 2 -25 0.207
20 2 -25 0.2133
25 2 -25 0.1969
30 2 -25 0.2021
35 2 -25 0.1815
40 2 -25 0.1291
45 2 -25 0.094
50 2 -25 0.067
55 2 -25 0.0404
60 2 -25 -0.0618
70 2 -25 -0.2264
80 2 -25 -0.3522
90 2 -25 -0.483
-20 4 -25 0.1758
-15 4 -25 0.1615
-10 4 -25 0.1534
-5 4 -25 0.1212
0 4 -25 0.1409
5 4 -25 0.1584
10 4 -25 0.1824
15 4 -25 0.2066
20 4 -25 0.2118
25 4 -25 0.1957
30 4 -25 0.2007
35 4 -25 0.1799
40 4 -25 0.1312
45 4 -25 0.0838
50 4 -25 0.0453
55 4 -25 0.0007
60 4 -25 -0.0674
70 4 -25 -0.2195
80 4 -25 -0.3187
90 4 -25 -0.4818
-20 6 -25 0.1801
-15 6 -25 0.1573
-10 6 -25 0.1523
-5 6 -25 0.1236
0 6 -25 0.1403
5 6 -25 0.1576
10 6 -25 0.1811
15 6 -25 0.2055
20 6 -25 0.2109
25 6 -25 0.1958
30 6 -25 0.1972
35 6 -25 0.179
40 6 -25 0.1245
45 6 -25 0.061
50 6 -25 0.0373
55 6 -25 -0.0024
60 6 -25 -0.0828
70 6 -25 -0.2054
80 6 -25 -0.3262
90 6 -25 -0.4911
-20 8 -25 0.1826
-15 8 -25 0.1534
-10 8 -25 0.1489
-5 8 -25 0.1267
0 8 -25 0.1409
5 8 -25 0.1572
10 8 -25 0.1797
15 8 -25 0.2022
20 8 -25 0.2082
25 8 -25 0.1948
30 8 -25 0.1947
35 8 -25 0.1703
40 8 -25 0.1025
45 8 -25 0.0491
50 8 -25 0.032
55 8 -25 0.0165
60 8 -25 -0.0849
70 8 -25 -0.2203
80 8 -25 -0.3283
90 8 -25 -0.5074
-20 10 -25 0.1912
-15 10 -25 0.1464
-10 10 -25 0.1493
-5 10 -25 0.1303
0 10 -25 0.1414
5 10 -25 0.1573
10 10 -25 0.1784
15 10 -25 0.2
20 10 -25 0.2061
25 10 -25 0.1953
30 10 -25 0.1901
35 10 -25 0.1459
40 10 -25 0.1028
45 10 -25 0.042
50 10 -25 0.0397
55 10 -25 0.0281
60 10 -25 -0.1004
70 10 -25 -0.2191
80 10 -25 -0.3285
90 10 -25 -0.4863
-20 15 -25 0.207
-15 15 -25 0.165
-10 15 -25 0.158
-5 15 -25 0.1373
0 15 -25 0.1448
5 15 -25 0.1568
10 15 -25 0.175
15 15 -25 0.1958
20 15 -25 0.1991
25 15 -25 0.1877
30 15 -25 0.1696
35 15 -25 0.1124
40 15 -25 0.0745
45 15 -25 0.0208
50 15 -25 -0.0114
55 15 -25 -0.0562
60 15 -25 -0.0976
70 15 -25 -0.2479
80 15 -25 -0.3763
90 15 -25 -0.5001
-20 20 -25 0.214
-15 20 -25 0.167
-10 20 -25 0.175
-5 20 -25 0.1444
0 20 -25 0.1453
5 20 -25 0.1557
10 20 -25 0.1701
15 20 -25 0.1901
20 20 -25 0.1878
25 20 -25 0.1687
30 20 -25 0.1186
35 20 -25 0.0962
40 20 -25 0.0495
45 20 -25 0.0343
50 20 -25 -0.0514
55 20 -25 -0.1373
60 20 -25 -0.1117
70 20 -25 -0.2276
80 20 -25 -0.3923
90 20 -25 -0.5124
-20 25 -25 0.216
-15 25 -25 0.158
-10 25 -25 0.153
-5 25 -25 0.1679
0 25 -25 0.1523
5 25 -25 0.154
10 25 -25 0.1663
15 25 -25 0.1755
20 25 -25 0.1618
25 25 -25 0.1406
30 25 -25 0.0889
35 25 -25 0.0757
40 25 -25 0.0406
45 25 -25 0.0338
50 25 -25 -0.0371
55 25 -25 -0.0343
60 25 -25 -0.0599
70 25 -25 -0.2518
80 25 -25 -0.3857
90 25 -25 -0.5227
-20 30 -25 0.227
-15 30 -25 0.163
-10 30 -25 0.138
-5 30 -25 0.1538
0 30 -25 0.1513
5 30 -25 0.1472
10 30 -25 0.1547
15 30 -25 0.1668
20 30 -25 0.1479
25 30 -25 0.113
30 30 -25 0.127
35 30 -25 0.1132
40 30 -25 0.1024
45 30 -25 0.06
50 30 -25 -0.0408
55 30 -25 -0.0335
60 30 -25 -0.0714
70 30 -25 -0.2503
80 30 -25 -0.3532
90 30 -25 -0.5219
-20 -30 -10 0.1469
-15 -30 -10 0.1087
