alpha beta Cm_lef
-20 -30 0.0922
-15 -30 0.0372
-10 -30 0.0251
-5 -30 -0.0006
0 -30 -0.0273
5 -30 -0.0319
10 -30 -0.0446
15 -30 -0.0682
20 -30 -0.0947
25 -30 -0.109
30 -30 -0.0135
35 -30 0.0202
40 -30 -0.0116
45 -30 -0.0023
-20 -25 0.0559
-15 -25 0.0062
-10 -25 0.0006
-5 -25 -0.0193
0 -25 -0.0246
5 -25 -0.0272
10 -25 -0.0368
15 -25 -0.0587
20 -25 -0.0851
25 -25 -0.1235
30 -25 -0.0857
35 -25 -0.051
40 -25 -0.0639
45 -25 -0.0164
-20 -20 0.0525
-15 -20 -0.0067
-10 -20 0.0014
-5 -20 -0.0234
0 -20 -0.023
5 -20 -0.0204
10 -20 -0.0266
15 -20 -0.0425
20 -20 -0.0642
25 -20 -0.0938
30 -20 -0.0907
35 -20 -0.0891
40 -20 -0.0971
45 -20 -0.0417
-20 -15 -0.0338
-15 -15 -0.0217
-10 -15 -0.0229
-5 -15 -0.0321
0 -15 -0.0231
5 -15 -0.017
10 -15 -0.0166
15 -15 -0.0197
20 -15 -0.0536
25 -15 -0.0777
30 -15 -0.1013
35 -15 -0.1086
40 -15 -0.1156
45 -15 -0.0987
-20 -10 -0.0518
-15 -10 -0.0702
-10 -10 -0.0536
-5 -10 -0.0386
0 -10 -0.0259
5 -10 -0.0152
10 -10 -0.0127
15 -10 0
20 -10 -0.0308
25 -10 -0.0674
30 -10 -0.0875
35 -10 -0.1018
40 -10 -0.117
45 -10 -0.0985
-20 -8 -0.0605
-15 -8 -0.086
-10 -8 -0.0634
-5 -8 -0.0389
0 -8 -0.0255
5 -8 -0.0148
10 -8 -0.0113
15 -8 0.0026
20 -8 -0.0293
25 -8 -0.0648
30 -8 -0.0983
35 -8 -0.1014
40 -8 -0.1142
45 -8 -0.0975
-20 -6 -0.0574
-15 -6 -0.1001
-10 -6 -0.0654
-5 -6 -0.0385
0 -6 -0.0286
5 -6 -0.0145
10 -6 -0.0092
15 -6 0.0078
20 -6 -0.0275
25 -6 -0.1607
30 -6 -0.0951
35 -6 -0.1105
40 -6 -0.1182
45 -6 -0.1278
-20 -4 -0.0554
-15 -4 -0.1
-10 -4 -0.0656
-5 -4 -0.0386
0 -4 -0.0271
5 -4 -0.0138
10 -4 -0.0057
15 -4 0.0158
20 -4 -0.0234
25 -4 -0.0558
30 -4 -0.0913
35 -4 -0.1117
40 -4 -0.116
45 -4 -0.1042
-20 -2 -0.055
-15 -2 -0.1002
-10 -2 -0.0652
-5 -2 -0.0388
0 -2 -0.0271
5 -2 -0.0127
10 -2 -0.0033
15 -2 0.0243
20 -2 -0.0188
25 -2 -0.0526
30 -2 -0.0902
35 -2 -0.1127
40 -2 -0.1178
45 -2 -0.1156
-20 0 -0.0503
-15 0 -0.1012
-10 0 -0.0647
-5 0 -0.0387
0 0 -0.0267
5 0 -0.0128
10 0 -0.0016
15 0 0.0323
20 0 -0.0161
25 0 -0.0455
30 0 -0.0871
35 0 -0.1151
40 0 -0.1206
45 0 -0.0979
-20 2 -0.0521
-15 2 -0.0974
-10 2 -0.0653
-5 2 -0.0389
0 2 -0.0266
5 2 -0.0133
10 2 -0.0017
15 2 0.0328
20 2 -0.0141
25 2 -0.0471
30 2 -0.0865
35 2 -0.1167
40 2 -0.128
45 2 -0.1122
-20 4 -0.0483
-15 4 -0.0939
-10 4 -0.0659
-5 4 -0.0387
0 4 -0.0272
5 4 -0.0141
10 4 -0.0025
15 4 0.029
20 4 -0.0136
25 4 -0.0479
30 4 -0.0896
35 4 -0.123
40 4 -0.1347
45 4 -0.1225
-20 6 -0.0459
-15 6 -0.0839
-10 6 -0.0654
-5 6 -0.0388
0 6 -0.028
5 6 -0.0149
10 6 -0.0038
15 6 0.0189
20 6 -0.0154
25 6 -0.053
30 6 -0.0962
35 6 -0.1301
40 6 -0.1436
45 6 -0.1444
-20 8 -0.0404
-15 8 -0.0837
-10 8 -0.0631
-5 8 -0.0392
0 8 -0.0267
5 8 -0.0157
10 8 -0.0049
15 8 0.012
20 8 -0.018
25 8 -0.0563
30 8 -0.0997
35 8 -0.1387
40 8 -0.1512
45 8 -0.134
-20 10 -0.0373
-15 10 -0.0759
-10 10 -0.057
-5 10 -0.0386
0 10 -0.027
5 10 -0.0164
10 10 -0.0085
15 10 0.0061
20 10 -0.0273
25 10 -0.061
30 10 -0.106
35 10 -0.1402
40 10 -0.1516
45 10 -0.1461
-20 15 -0.0193
-15 15 -0.0274
-10 15 -0.0263
-5 15 -0.0321
0 15 -0.0242
5 15 -0.0182
10 15 -0.0124
15 15 -0.0136
20 15 -0.0501
25 15 -0.0713
30 15 -0.1198
35 15 -0.147
40 15 -0.1502
45 15 -0.1463
-20 20 0.067
-15 20 -0.0124
-10 20 -0.002
-5 20 -0.0234
0 20 -0.0241
5 20 -0.0216
10 20 -0.0224
15 20 -0.0364
20 20 -0.0607
25 20 -0.0874
30 20 -0.1092
35 20 -0.1275
40 20 -0.1317
45 20 -0.0893
-20 25 0.0704
-15 25 0.0005
-10 25 -0.0028
-5 25 -0.0193
0 25 -0.0257
5 25 -0.0287
10 25 -0.0326
15 25 -0.0526
20 25 -0.0816
25 25 -0.1171
30 25 -0.1042
35 25 -0.0894
40 25 -0.0985
45 25 -0.064
-20 30 0.1067
-15 30 0.0315
-10 30 0.0217
-5 30 -0.0006
0 30 -0.0284
5 30 -0.0331
10 30 -0.0404
15 30 -0.0621
20 30 -0.0912
25 30 -0.1026
30 30 -0.032
35 30 -0.0142
40 30 -0.0462
45 30 -0.0499
