alpha beta ele Cn
-20 -30 -25 -0.0596
-15 -30 -25 -0.0624
-10 -30 -25 -0.0714
-5 -30 -25 -0.0852
0 -30 -25 -0.0999
5 -30 -25 -0.1053
10 -30 -25 -0.0992
15 -30 -25 -0.0988
20 -30 -25 -0.0638
25 -30 -25 -0.0486
30 -30 -25 -0.011
35 -30 -25 -0.007
40 -30 -25 -0.0171
45 -30 -25 -0.0173
50 -30 -25 -0.0457
55 -30 -25 -0.0595
60 -30 -25 -0.0253
70 -30 -25 0.0204
80 -30 -25 0.0212
90 -30 -25 0.0323
-20 -25 -25 -0.063
-15 -25 -25 -0.0582
-10 -25 -25 -0.0624
-5 -25 -25 -0.0763
0 -25 -25 -0.0873
5 -25 -25 -0.0833
10 -25 -25 -0.077
15 -25 -25 -0.063
20 -25 -25 -0.0467
25 -25 -25 -0.0349
30 -25 -25 0.0147
35 -25 -25 0.0272
40 -25 -25 0.0033
45 -25 -25 -0.0026
50 -25 -25 -0.0358
55 -25 -25 -0.047
60 -25 -25 -0.013
70 -25 -25 0.0252
80 -25 -25 0.0213
90 -25 -25 0.0203
-20 -20 -25 -0.0528
-15 -20 -25 -0.0457
-10 -20 -25 -0.0529
-5 -20 -25 -0.0641
0 -20 -25 -0.0799
5 -20 -25 -0.07
10 -20 -25 -0.0642
15 -20 -25 -0.0487
20 -20 -25 -0.0251
25 -20 -25 -0.0161
30 -20 -25 0.0279
35 -20 -25 0.053
40 -20 -25 0.0636
45 -20 -25 0.0344
50 -20 -25 -0.018
55 -20 -25 -0.0044
60 -20 -25 0.0176
70 -20 -25 0.0175
80 -20 -25 0.0137
90 -20 -25 0.0112
-20 -15 -25 -0.0381
-15 -15 -25 -0.0288
-10 -15 -25 -0.0429
-5 -15 -25 -0.048
0 -15 -25 -0.0532
5 -15 -25 -0.053
10 -15 -25 -0.0489
15 -15 -25 -0.0459
20 -15 -25 -0.0237
25 -15 -25 -0.0126
30 -15 -25 0.0248
35 -15 -25 0.067
40 -15 -25 0.0669
45 -15 -25 0.0524
50 -15 -25 0.0132
55 -15 -25 -0.0223
60 -15 -25 -0.0079
70 -15 -25 0.0099
80 -15 -25 0.0092
90 -15 -25 0.0022
-20 -10 -25 -0.0138
-15 -10 -25 -0.0184
-10 -10 -25 -0.0278
-5 -10 -25 -0.0356
0 -10 -25 -0.0379
5 -10 -25 -0.0361
10 -10 -25 -0.0369
15 -10 -25 -0.0351
20 -10 -25 -0.022
25 -10 -25 -0.0153
30 -10 -25 0.0286
35 -10 -25 0.0503
40 -10 -25 0.0439
45 -10 -25 0.0346
50 -10 -25 0.0235
55 -10 -25 -0.0307
60 -10 -25 0.0036
70 -10 -25 -0.0021
80 -10 -25 0.0075
90 -10 -25 0.0083
-20 -8 -25 -0.0056
-15 -8 -25 -0.0136
-10 -8 -25 -0.0203
-5 -8 -25 -0.0265
0 -8 -25 -0.0284
5 -8 -25 -0.0289
10 -8 -25 -0.0294
15 -8 -25 -0.0279
20 -8 -25 -0.0177
25 -8 -25 -0.0113
30 -8 -25 0.0059
35 -8 -25 0.0495
40 -8 -25 0.0299
45 -8 -25 0.0251
50 -8 -25 0.0212
55 -8 -25 -0.0236
60 -8 -25 -0.0071
70 -8 -25 -0.0059
80 -8 -25 0.0086
90 -8 -25 0.0066
-20 -6 -25 0.0031
-15 -6 -25 -0.007
-10 -6 -25 -0.0134
-5 -6 -25 -0.0186
0 -6 -25 -0.0197
5 -6 -25 -0.0202
10 -6 -25 -0.0212
15 -6 -25 -0.0202
20 -6 -25 -0.0112
25 -6 -25 -0.007
30 -6 -25 0.0032
35 -6 -25 0.0371
40 -6 -25 0.0158
45 -6 -25 0.0147
50 -6 -25 0.0214
55 -6 -25 -0.0203
60 -6 -25 -0.0214
70 -6 -25 -0.0098
80 -6 -25 0.0084
90 -6 -25 0.0043
-20 -4 -25 0.0084
