alpha beta Cn_a20
-20 -30 -0.0626
-15 -30 -0.062
-10 -30 -0.0685
-5 -30 -0.1078
0 -30 -0.1228
5 -30 -0.1239
10 -30 -0.1118
15 -30 -0.0976
20 -30 -0.0639
25 -30 -0.035
30 -30 -0.0189
35 -30 0.0001
40 -30 -0.009
45 -30 -0.0029
50 -30 -0.0204
55 -30 -0.0273
60 -30 -0.0126
70 -30 0.0431
80 -30 0.0399
90 -30 0.0329
-20 -25 -0.0615
-15 -25 -0.0555
-10 -25 -0.0605
-5 -25 -0.0992
0 -25 -0.1088
5 -25 -0.1094
10 -25 -0.102
15 -25 -0.0816
20 -25 -0.053
25 -25 -0.0313
30 -25 0.0089
35 -25 0.0288
40 -25 0.0176
45 -25 0.0066
50 -25 -0.0138
55 -25 -0.0297
60 -25 -0.0181
70 -25 0.0387
80 -25 0.0403
90 -25 0.0296
-20 -20 -0.0603
-15 -20 -0.0491
-10 -20 -0.055
-5 -20 -0.0836
0 -20 -0.0909
5 -20 -0.0933
10 -20 -0.0894
15 -20 -0.0746
20 -20 -0.0474
25 -20 -0.0198
30 -20 0.0228
35 -20 0.0479
40 -20 0.0685
45 -20 0.0329
50 -20 0.0062
55 -20 0.0083
60 -20 0.0108
70 -20 0.0269
80 -20 0.0357
90 -20 0.0246
-20 -15 -0.0537
-15 -15 -0.0385
-10 -15 -0.0471
-5 -15 -0.0675
0 -15 -0.0715
5 -15 -0.0724
10 -15 -0.069
15 -15 -0.0637
20 -15 -0.0441
25 -15 -0.024
30 -15 0.0194
35 -15 0.0589
40 -15 0.0735
45 -15 0.0567
50 -15 0.029
55 -15 0.013
60 -15 0.0084
70 -15 0.0262
80 -15 0.0303
90 -15 0.0174
-20 -10 -0.0346
-15 -10 -0.0337
-10 -10 -0.0402
-5 -10 -0.0458
0 -10 -0.0492
5 -10 -0.049
10 -10 -0.0486
15 -10 -0.0481
20 -10 -0.0327
25 -10 -0.0172
30 -10 0.013
35 -10 0.0399
40 -10 0.0417
45 -10 0.0438
50 -10 0.0291
55 -10 0.0064
60 -10 -0.0008
70 -10 0.0214
80 -10 0.024
90 -10 0.0174
-20 -8 -0.0254
-15 -8 -0.028
-10 -8 -0.0328
-5 -8 -0.0396
0 -8 -0.0442
5 -8 -0.0434
10 -8 -0.044
15 -8 -0.0425
20 -8 -0.0238
25 -8 -0.0127
30 -8 0.0024
