alpha beta Cn_a20_lef
-20 -30 -0.0679
-15 -30 -0.0738
-10 -30 -0.0782
-5 -30 -0.115
0 -30 -0.1226
5 -30 -0.1162
10 -30 -0.1024
15 -30 -0.0799
20 -30 -0.0392
25 -30 -0.0354
30 -30 -0.0144
35 -30 0.0143
40 -30 -0.0015
45 -30 -0.0016
-20 -25 -0.0611
-15 -25 -0.0707
-10 -25 -0.069
-5 -25 -0.1068
0 -25 -0.1107
5 -25 -0.103
10 -25 -0.0944
15 -25 -0.0816
20 -25 -0.0313
25 -25 -0.0147
30 -25 0.0062
35 -25 0.0473
40 -25 0.0259
45 -25 -0.0026
-20 -20 -0.0552
-15 -20 -0.0668
-10 -20 -0.0617
-5 -20 -0.0899
0 -20 -0.091
5 -20 -0.0873
10 -20 -0.0827
15 -20 -0.0789
20 -20 -0.0332
25 -20 -0.0009
30 -20 0.0235
35 -20 0.0532
40 -20 0.0599
45 -20 0.0153
-20 -15 -0.0515
-15 -15 -0.0556
-10 -15 -0.0534
-5 -15 -0.0717
0 -15 -0.0723
5 -15 -0.0677
10 -15 -0.0658
15 -15 -0.0608
20 -15 -0.0383
25 -15 0.0044
30 -15 0.0328
35 -15 0.0589
40 -15 0.0582
45 -15 0.0361
-20 -10 -0.0389
-15 -10 -0.0442
-10 -10 -0.0441
-5 -10 -0.0483
0 -10 -0.0483
5 -10 -0.0465
10 -10 -0.045
15 -10 -0.0433
20 -10 -0.0301
25 -10 -0.0071
30 -10 0.0236
35 -10 0.0445
40 -10 0.0315
45 -10 0.0348
-20 -8 -0.031
-15 -8 -0.0377
-10 -8 -0.0392
-5 -8 -0.043
0 -8 -0.0429
5 -8 -0.0406
10 -8 -0.0401
15 -8 -0.0378
20 -8 -0.0261
25 -8 -0.0089
30 -8 0.0158
35 -8 0.0369
40 -8 0.0188
45 -8 0.0284
-20 -6 -0.026
-15 -6 -0.0306
-10 -6 -0.0308
-5 -6 -0.036
0 -6 -0.036
5 -6 -0.0328
10 -6 -0.0307
15 -6 -0.0286
20 -6 -0.0195
25 -6 -0.0055
30 -6 0.0121
35 -6 0.0241
40 -6 0.0083
45 -6 0.0203
-20 -4 -0.0195
-15 -4 -0.0238
-10 -4 -0.0247
-5 -4 -0.0268
0 -4 -0.0257
5 -4 -0.024
10 -4 -0.0224
15 -4 -0.0201
20 -4 -0.0134
25 -4 -0.0033
30 -4 0.0125
35 -4 0.0166
40 -4 0.0005
45 -4 0.0131
-20 -2 -0.0136
-15 -2 -0.0175
-10 -2 -0.0182
-5 -2 -0.0189
0 -2 -0.0171
5 -2 -0.0145
10 -2 -0.0137
15 -2 -0.0104
20 -2 -0.0084
25 -2 -0.0003
30 -2 0.0106
35 -2 0.0108
40 -2 -0.0077
45 -2 0.007
-20 0 -0.0092
-15 0 -0.0113
-10 0 -0.0115
-5 0 -0.0114
0 0 -0.01
5 0 -0.0077
10 0 -0.0056
15 0 -0.0037
20 0 -0.0054
25 0 0.001
30 0 0.0068
35 0 -0.0002
40 0 -0.0142
45 0 -0.0002
-20 2 -0.005
-15 2 -0.0051
-10 2 -0.0047
-5 2 -0.0051
0 2 -0.0028
5 2 -0.0008
10 2 0.0015
15 2 0.0024
20 2 -0.0024
25 2 0.002
30 2 0.002
35 2 -0.0068
40 2 -0.0221
45 2 -0.0176
-20 4 -0.0025
-15 4 0.0012
-10 4 0.002
-5 4 0.0023
0 4 0.0041
5 4 0.0055
10 4 0.0079
15 4 0.008
20 4 0.0017
25 4 0.004
30 4 -0.0019
35 4 -0.0117
40 4 -0.0283
45 4 -0.0392
-20 6 0.0023
-15 6 0.0077
-10 6 0.0082
-5 6 0.0092
0 6 0.012
5 6 0.0134
10 6 0.0164
15 6 0.0159
20 6 0.0067
25 6 0.0057
30 6 -0.0053
35 6 -0.0166
40 6 -0.0309
45 6 -0.0446
-20 8 0.0078
-15 8 0.0154
-10 8 0.0154
-5 8 0.0185
0 8 0.0196
5 8 0.0222
10 8 0.0251
15 8 0.0249
20 8 0.0136
25 8 0.0071
30 8 -0.013
35 8 -0.0265
40 8 -0.0365
45 8 -0.0539
-20 10 0.0128
-15 10 0.0225
-10 10 0.0229
-5 10 0.0277
0 10 0.0291
5 10 0.0316
10 10 0.0345
15 10 0.0341
20 10 0.0201
25 10 0.0031
30 10 -0.0215
35 10 -0.0345
40 10 -0.0425
45 10 -0.0607
-20 15 0.0255
-15 15 0.0338
-10 15 0.032
-5 15 0.051
0 15 0.0532
5 15 0.0539
10 15 0.055
15 15 0.0513
20 15 0.0284
25 15 -0.0082
30 15 -0.0293
35 15 -0.0489
40 15 -0.069
45 15 -0.062
-20 20 0.0297
-15 20 0.045
-10 20 0.04
-5 20 0.0688
0 20 0.0719
5 20 0.0729
10 20 0.0719
15 20 0.0697
20 20 0.0232
25 20 -0.0034
30 20 -0.0217
35 20 -0.0431
40 20 -0.0701
45 20 -0.0415
-20 25 0.0358
-15 25 0.0492
-10 25 0.0472
-5 25 0.0855
0 25 0.0914
5 25 0.0888
10 25 0.0838
15 25 0.0721
20 25 0.0214
25 25 0.0105
30 25 -0.0041
35 25 -0.0368
40 25 -0.0359
45 25 -0.0235
-20 30 0.0425
-15 30 0.0523
-10 30 0.0568
-5 30 0.0931
0 30 0.1033
5 30 0.1024
10 30 0.0917
15 30 0.0683
20 30 0.0295
25 30 0.0323
30 30 0.0164
35 30 -0.0041
40 30 -0.0088
45 30 -0.0245
