alpha beta Cn_lef
-20 -30 -0.0537
-15 -30 -0.0683
-10 -30 -0.0787
-5 -30 -0.0882
0 -30 -0.1061
5 -30 -0.1051
10 -30 -0.0926
15 -30 -0.0632
20 -30 -0.0387
25 -30 -0.0326
30 -30 -0.024
35 -30 0.0068
40 -30 0.0098
45 -30 -0.0068
-20 -25 -0.0559
-15 -25 -0.0733
-10 -25 -0.078
-5 -25 -0.0852
0 -25 -0.093
5 -25 -0.0877
10 -25 -0.0797
15 -25 -0.067
20 -25 -0.0219
25 -25 -0.0192
30 -25 -0.0022
35 -25 0.0321
40 -25 0.0153
45 -25 -0.0109
-20 -20 -0.0457
-15 -20 -0.0663
-10 -20 -0.0636
-5 -20 -0.0754
0 -20 -0.0755
5 -20 -0.0728
10 -20 -0.0731
15 -20 -0.0653
20 -20 -0.0201
25 -20 -0.0001
30 -20 0.0153
35 -20 0.0463
40 -20 0.0471
45 -20 0.0143
-20 -15 -0.0491
-15 -15 -0.0544
-10 -15 -0.0562
-5 -15 -0.0557
0 -15 -0.0594
5 -15 -0.0573
10 -15 -0.058
15 -15 -0.0549
20 -15 -0.0258
25 -15 0.0079
30 -15 0.0274
35 -15 0.0483
40 -15 0.0441
45 -15 0.0329
-20 -10 -0.0292
-15 -10 -0.0363
-10 -10 -0.0377
-5 -10 -0.0403
0 -10 -0.0421
5 -10 -0.041
10 -10 -0.0424
15 -10 -0.0414
20 -10 -0.0244
25 -10 -0.0043
30 -10 0.0223
35 -10 0.0364
40 -10 0.0241
45 -10 0.0255
-20 -8 -0.0204
-15 -8 -0.0287
-10 -8 -0.0296
-5 -8 -0.0309
0 -8 -0.032
5 -8 -0.0324
10 -8 -0.0327
15 -8 -0.0316
20 -8 -0.0202
25 -8 -0.0078
30 -8 0.0139
35 -8 0.0327
40 -8 0.0126
45 -8 0.019
-20 -6 -0.0169
-15 -6 -0.0209
-10 -6 -0.0225
-5 -6 -0.0255
0 -6 -0.0223
5 -6 -0.0225
10 -6 -0.0235
15 -6 -0.0223
20 -6 -0.0104
25 -6 -0.0045
30 -6 0.008
35 -6 0.0193
40 -6 0.001
45 -6 0.0128
-20 -4 -0.0096
-15 -4 -0.0131
-10 -4 -0.0149
-5 -4 -0.0142
0 -4 -0.0136
5 -4 -0.014
10 -4 -0.0154
15 -4 -0.0135
20 -4 -0.0086
25 -4 -0.0013
30 -4 0.0082
35 -4 0.0136
40 -4 -0.0048
45 -4 0.0059
-20 -2 -0.0039
-15 -2 -0.0063
-10 -2 -0.0075
-5 -2 -0.0068
0 -2 -0.0063
5 -2 -0.0061
10 -2 -0.0064
15 -2 -0.0059
20 -2 -0.0043
25 -2 0.0004
30 -2 0.0055
35 -2 0.0049
40 -2 -0.0139
45 -2 -0.0024
-20 0 0.0004
-15 0 -0.0005
-10 0 -0.0007
-5 0 -0.0001
0 0 -0.0001
5 0 0
10 0 0
15 0 0
20 0 -0.0028
25 0 0.0016
30 0 0.0025
35 0 -0.007
40 0 -0.0204
45 0 -0.0071
-20 2 0.0041
-15 2 0.0052
-10 2 0.0062
-5 2 0.0066
0 2 0.0065
5 2 0.0062
10 2 0.0064
15 2 0.0055
20 2 0.0002
25 2 0.0024
30 2 -0.0007
35 2 -0.016
40 2 -0.0264
45 2 -0.0241
-20 4 0.008
-15 4 0.012
-10 4 0.0134
-5 4 0.0143
0 4 0.0142
5 4 0.0149
10 4 0.015
15 4 0.0143
20 4 0.0059
25 4 0.0054
30 4 -0.0052
35 4 -0.0204
40 4 -0.034
45 4 -0.044
-20 6 0.0125
-15 6 0.0201
-10 6 0.0217
-5 6 0.0233
0 6 0.0233
5 6 0.0229
10 6 0.0243
15 6 0.0232
20 6 0.0131
25 6 0.0085
30 6 -0.0092
35 6 -0.026
40 6 -0.0359
45 6 -0.0535
-20 8 0.019
-15 8 0.0283
-10 8 0.0294
-5 8 0.0327
0 8 0.0339
5 8 0.0336
10 8 0.033
15 8 0.0325
20 8 0.0199
25 8 0.0094
30 8 -0.0176
35 8 -0.0333
40 8 -0.047
45 8 -0.0604
-20 10 0.0235
-15 10 0.0359
-10 10 0.038
-5 10 0.0429
0 10 0.0428
5 10 0.0423
10 10 0.0425
15 10 0.0417
20 10 0.0251
25 10 0.005
30 10 -0.0251
35 10 -0.0398
40 10 -0.0534
45 10 -0.0682
-20 15 0.0432
-15 15 0.0534
-10 15 0.0565
-5 15 0.0585
0 15 0.0594
5 15 0.0589
10 15 0.0579
15 15 0.0533
20 15 0.0264
25 15 -0.0072
30 15 -0.0307
35 15 -0.0514
40 15 -0.0736
45 15 -0.0752
-20 20 0.0397
-15 20 0.0653
-10 20 0.0638
-5 20 0.0784
0 20 0.0758
5 20 0.0747
10 20 0.073
15 20 0.0656
20 20 0.0209
25 20 0.0008
30 20 -0.0184
35 20 -0.0497
40 20 -0.0765
45 20 -0.0566
-20 25 0.0498
-15 25 0.0725
-10 25 0.0708
-5 25 0.0871
0 25 0.0937
5 25 0.0877
10 25 0.0796
15 25 0.0673
20 25 0.0225
25 25 0.0199
30 25 -0.0009
35 25 -0.0349
40 25 -0.0444
45 25 -0.0316
-20 30 0.0472
-15 30 0.0678
-10 30 0.0787
-5 30 0.0912
0 30 0.1065
5 30 0.1069
10 30 0.0925
15 30 0.0635
20 30 0.0393
25 30 0.0333
30 30 0.0213
35 30 -0.0091
40 30 -0.019
45 30 -0.0351
