alpha beta Cn_r30
-20 -30 -0.0774
-15 -30 -0.0759
-10 -30 -0.0856
-5 -30 -0.142
0 -30 -0.157
5 -30 -0.1585
10 -30 -0.152
15 -30 -0.1315
20 -30 -0.124
25 -30 -0.1038
30 -30 -0.06
35 -30 -0.0536
40 -30 -0.0435
45 -30 -0.0318
50 -30 -0.049
55 -30 -0.0537
60 -30 -0.0335
70 -30 0.0228
80 -30 0.0212
90 -30 0.0098
-20 -25 -0.0802
-15 -25 -0.0746
-10 -25 -0.0839
-5 -25 -0.1268
0 -25 -0.1375
5 -25 -0.14
10 -25 -0.135
15 -25 -0.11
20 -25 -0.104
25 -25 -0.0922
30 -25 -0.0297
35 -25 -0.027
40 -25 -0.0257
45 -25 -0.0204
50 -25 -0.0342
55 -25 -0.0478
60 -25 -0.03
70 -25 0.0258
80 -25 0.025
90 -25 0.0086
-20 -20 -0.0728
-15 -20 -0.0709
-10 -20 -0.0834
-5 -20 -0.1168
0 -20 -0.1175
5 -20 -0.121
10 -20 -0.117
15 -20 -0.1035
20 -20 -0.0835
25 -20 -0.0735
30 -20 -0.0185
35 -20 -0.0008
40 -20 0.024
45 -20 0.0138
50 -20 -0.0158
55 -20 -0.0085
60 -20 0.0008
70 -20 0.0138
80 -20 0.0204
90 -20 0.0077
-20 -15 -0.0643
-15 -15 -0.0611
-10 -15 -0.0755
-5 -15 -0.093
0 -15 -0.0975
5 -15 -0.102
10 -15 -0.099
15 -15 -0.0915
20 -15 -0.0805
25 -15 -0.068
30 -15 -0.01
35 -15 0.0117
40 -15 0.0338
45 -15 0.0372
50 -15 0.0082
55 -15 -0.0106
60 -15 -0.0147
70 -15 0.003
80 -15 0.0156
90 -15 0.0023
-20 -10 -0.0607
-15 -10 -0.0624
-10 -10 -0.0676
-5 -10 -0.0772
0 -10 -0.0785
5 -10 -0.0813
10 -10 -0.0816
15 -10 -0.0761
20 -10 -0.0646
25 -10 -0.0539
30 -10 -0.0051
35 -10 0.009
40 -10 0.0175
45 -10 0.025
50 -10 0.0101
55 -10 -0.0167
60 -10 -0.0257
70 -10 -0.0055
80 -10 0.0098
90 -10 -0.0027
-20 -8 -0.0614
-15 -8 -0.0659
-10 -8 -0.0691
-5 -8 -0.0743
0 -8 -0.0777
5 -8 -0.0787
10 -8 -0.0779
15 -8 -0.0768
20 -8 -0.0654
25 -8 -0.0597
30 -8 -0.0283
35 -8 0.0054
40 -8 -0.0001
45 -8 0.0173
50 -8 0.0054
55 -8 -0.0191
60 -8 -0.0294
70 -8 -0.012
80 -8 0.0073
90 -8 -0.0035
-20 -6 -0.0603
-15 -6 -0.065
-10 -6 -0.0663
-5 -6 -0.0669
0 -6 -0.0687
5 -6 -0.069
10 -6 -0.069
15 -6 -0.0703
20 -6 -0.0645
25 -6 -0.0617
30 -6 -0.0424
35 -6 -0.0154
40 -6 -0.0133
45 -6 0.0065
50 -6 -0.0013
55 -6 -0.0248
60 -6 -0.0368
70 -6 -0.0195
80 -6 0.0039
90 -6 -0.0048
-20 -4 -0.0538
-15 -4 -0.0581
-10 -4 -0.0596
-5 -4 -0.0597
0 -4 -0.0604
5 -4 -0.0604
10 -4 -0.06
15 -4 -0.0614
20 -4 -0.0597
25 -4 -0.0586
30 -4 -0.0477
35 -4 -0.0312
40 -4 -0.0249
45 -4 -0.0028
50 -4 -0.0073
55 -4 -0.0248
60 -4 -0.0366
70 -4 -0.0242
80 -4 0.0005
90 -4 -0.0001
-20 -2 -0.0507
-15 -2 -0.0523
-10 -2 -0.0526
-5 -2 -0.052
0 -2 -0.0521
5 -2 -0.0514
10 -2 -0.0513
15 -2 -0.0526
20 -2 -0.0512
25 -2 -0.0524
30 -2 -0.0476
35 -2 -0.0432
40 -2 -0.0389
45 -2 -0.0128
50 -2 -0.0092
55 -2 -0.0169
60 -2 -0.0255
70 -2 -0.0191
80 -2 -0.0013
90 -2 0
-20 0 -0.0468
-15 0 -0.0485
-10 0 -0.0482
-5 0 -0.0447
0 0 -0.0445
5 0 -0.0444
10 0 -0.0441
15 0 -0.0455
20 0 -0.0444
25 0 -0.048
30 0 -0.0496
35 0 -0.0518
40 0 -0.0474
45 0 -0.0237
50 0 -0.0176
55 0 -0.0213
60 0 -0.0185
70 0 -0.0054
80 0 -0.0072
90 0 -0.0015
-20 2 -0.0481
-15 2 -0.0466
-10 2 -0.0453
-5 2 -0.0399
0 2 -0.0383
5 2 -0.0382
10 2 -0.0382
15 2 -0.0395
20 2 -0.04
25 2 -0.0448
30 2 -0.0512
35 2 -0.0596
40 2 -0.0551
45 2 -0.0485
50 2 -0.0261
55 2 -0.0185
60 2 -0.0107
70 2 -0.0024
80 2 -0.0066
90 2 -0.0033
-20 4 -0.0473
-15 4 -0.0438
-10 4 -0.0413
-5 4 -0.0335
0 4 -0.0317
5 4 -0.0305
10 4 -0.0309
15 4 -0.0329
20 4 -0.0373
25 4 -0.0408
30 4 -0.0516
35 4 -0.064
40 4 -0.0595
45 4 -0.062
50 4 -0.0395
55 4 -0.0262
60 4 -0.0077
70 4 0.0104
80 4 -0.01
90 4 -0.0038
-20 6 -0.0452
-15 6 -0.0396
-10 6 -0.0344
-5 6 -0.0256
0 6 -0.0224
5 6 -0.0214
10 6 -0.02
15 6 -0.021
20 6 -0.029
25 6 -0.033
30 6 -0.0506
35 6 -0.0676
40 6 -0.0642
45 6 -0.0692
50 6 -0.0533
55 6 -0.0376
