alpha beta ele Cx
-20 -30 -25 -0.1837
-15 -30 -25 -0.1714
-10 -30 -25 -0.1531
-5 -30 -25 -0.1151
0 -30 -25 -0.0907
5 -30 -25 -0.0514
10 -30 -25 -0.0079
15 -30 -25 0.0354
20 -30 -25 0.074
25 -30 -25 0.1092
30 -30 -25 0.0915
35 -30 -25 0.1079
40 -30 -25 0.1306
45 -30 -25 0.1535
50 -30 -25 0.1471
55 -30 -25 0.1554
60 -30 -25 0.1501
70 -30 -25 0.1501
80 -30 -25 0.1685
90 -30 -25 0.1712
-20 -25 -25 -0.1853
-15 -25 -25 -0.1765
-10 -25 -25 -0.1627
-5 -25 -25 -0.1232
0 -25 -25 -0.0985
5 -25 -25 -0.0567
10 -25 -25 -0.0108
15 -25 -25 0.0358
20 -25 -25 0.0756
25 -25 -25 0.1124
30 -25 -25 0.101
35 -25 -25 0.1137
40 -25 -25 0.1437
45 -25 -25 0.1603
50 -25 -25 0.1584
55 -25 -25 0.1615
60 -25 -25 0.1599
70 -25 -25 0.1536
80 -25 -25 0.1615
90 -25 -25 0.1651
-20 -20 -25 -0.1904
-15 -20 -25 -0.1792
-10 -20 -25 -0.1692
-5 -20 -25 -0.1276
0 -20 -25 -0.1043
5 -20 -25 -0.0603
10 -20 -25 -0.0099
15 -20 -25 0.0388
20 -20 -25 0.0746
25 -20 -25 0.1102
30 -20 -25 0.0975
35 -20 -25 0.1198
40 -20 -25 0.135
45 -20 -25 0.1605
50 -20 -25 0.1646
55 -20 -25 0.1568
60 -20 -25 0.1647
70 -20 -25 0.1569
80 -20 -25 0.1559
90 -20 -25 0.1608
-20 -15 -25 -0.1899
-15 -15 -25 -0.1827
-10 -15 -25 -0.1718
-5 -15 -25 -0.1317
0 -15 -25 -0.1093
5 -15 -25 -0.064
10 -15 -25 -0.0101
15 -15 -25 0.0402
20 -15 -25 0.0745
25 -15 -25 0.1067
30 -15 -25 0.1079
35 -15 -25 0.1278
40 -15 -25 0.1441
45 -15 -25 0.1604
50 -15 -25 0.1671
55 -15 -25 0.1661
60 -15 -25 0.1525
70 -15 -25 0.142
80 -15 -25 0.152
90 -15 -25 0.1648
-20 -10 -25 -0.1949
-15 -10 -25 -0.1816
-10 -10 -25 -0.1695
-5 -10 -25 -0.139
0 -10 -25 -0.112
5 -10 -25 -0.0653
10 -10 -25 -0.0074
15 -10 -25 0.0477
20 -10 -25 0.0867
25 -10 -25 0.1101
30 -10 -25 0.1188
