alpha beta Cx_lef
-20 -30 -0.0277
-15 -30 -0.0314
-10 -30 -0.0295
-5 -30 -0.0148
0 -30 -0.0136
5 -30 -0.0029
10 -30 0.0085
15 -30 0.0145
20 -30 0.0165
25 -30 0.0138
30 -30 0.0092
35 -30 0.0099
40 -30 0.0206
45 -30 0.0257
-20 -25 -0.0285
-15 -25 -0.031
-10 -25 -0.0298
-5 -25 -0.0153
0 -25 -0.0149
5 -25 -0.001
10 -25 0.0104
15 -25 0.0168
20 -25 0.017
25 -25 0.0172
30 -25 0.0122
35 -25 0.0134
40 -25 0.0202
45 -25 0.0274
-20 -20 -0.0318
-15 -20 -0.0259
-10 -20 -0.026
-5 -20 -0.0163
0 -20 -0.0143
5 -20 -0.0003
10 -20 0.0116
15 -20 0.0196
20 -20 0.0205
25 -20 0.0157
30 -20 0.0129
35 -20 0.0162
40 -20 0.0236
45 -20 0.0266
-20 -15 -0.0256
-15 -15 -0.0191
-10 -15 -0.0233
-5 -15 -0.015
0 -15 -0.0136
5 -15 -0.0005
10 -15 0.0121
15 -15 0.0218
20 -15 0.0226
25 -15 0.0178
30 -15 0.0165
35 -15 0.0149
40 -15 0.0246
45 -15 0.0236
-20 -10 -0.0184
-15 -10 -0.0161
-10 -10 -0.0209
-5 -10 -0.0167
0 -10 -0.0168
5 -10 -0.0004
10 -10 0.0131
15 -10 0.0225
20 -10 0.0252
25 -10 0.0226
30 -10 0.0202
35 -10 0.0208
40 -10 0.0289
45 -10 0.0266
-20 -8 -0.0156
-15 -8 -0.0157
-10 -8 -0.0215
-5 -8 -0.0173
0 -8 -0.0178
5 -8 -0.0006
10 -8 0.0125
15 -8 0.0231
20 -8 0.0245
25 -8 0.0251
30 -8 0.0253
35 -8 0.0229
40 -8 0.0293
45 -8 0.0283
-20 -6 -0.0159
-15 -6 -0.0162
-10 -6 -0.0214
-5 -6 -0.0185
0 -6 -0.0182
5 -6 -0.0017
10 -6 0.0122
15 -6 0.0238
20 -6 0.0236
25 -6 0.0264
30 -6 0.0279
35 -6 0.0273
40 -6 0.029
45 -6 0.0236
-20 -4 -0.0162
-15 -4 -0.0173
-10 -4 -0.0224
-5 -4 -0.0189
0 -4 -0.0188
5 -4 -0.0027
10 -4 0.0119
15 -4 0.0238
20 -4 0.0232
25 -4 0.0274
30 -4 0.0295
35 -4 0.0286
40 -4 0.032
45 -4 0.0298
-20 -2 -0.0174
-15 -2 -0.0189
-10 -2 -0.023
-5 -2 -0.0193
0 -2 -0.0197
5 -2 -0.0033
10 -2 0.0104
15 -2 0.0231
20 -2 0.0233
25 -2 0.0271
30 -2 0.0296
35 -2 0.0303
40 -2 0.0317
45 -2 0.0268
-20 0 -0.0181
-15 0 -0.0193
-10 0 -0.0224
-5 0 -0.0196
0 0 -0.0202
5 0 -0.0033
10 0 0.0099
15 0 0.0224
20 0 0.0221
25 0 0.0278
30 0 0.0301
35 0 0.0305
40 0 0.0328
45 0 0.0309
-20 2 -0.0179
-15 2 -0.0186
-10 2 -0.022
-5 2 -0.0192
0 2 -0.0196
5 2 -0.0033
10 2 0.0096
15 2 0.0224
20 2 0.0232
25 2 0.0275
30 2 0.0309
35 2 0.0286
40 2 0.0314
45 2 0.0307
-20 4 -0.0167
-15 4 -0.0186
-10 4 -0.0217
-5 4 -0.0185
0 4 -0.0188
5 4 -0.0024
10 4 0.0106
15 4 0.0226
20 4 0.0241
25 4 0.0271
30 4 0.0306
35 4 0.0307
40 4 0.0305
45 4 0.028
-20 6 -0.0168
-15 6 -0.017
-10 6 -0.0213
-5 6 -0.0179
0 6 -0.018
5 6 -0.0014
10 6 0.0117
15 6 0.0227
20 6 0.025
25 6 0.0267
30 6 0.0278
35 6 0.0292
40 6 0.0289
45 6 0.0238
-20 8 -0.0156
-15 8 -0.0155
-10 8 -0.0205
-5 8 -0.0178
0 8 -0.0172
5 8 -0.0004
10 8 0.0126
15 8 0.0223
20 8 0.0267
25 8 0.0249
30 8 0.0261
35 8 0.0259
40 8 0.0281
45 8 0.0284
-20 10 -0.0153
-15 10 -0.0154
-10 10 -0.0199
-5 10 -0.0162
0 10 -0.016
5 10 0.0004
10 10 0.0127
15 10 0.0222
20 10 0.0276
25 10 0.0252
30 10 0.0247
35 10 0.0253
40 10 0.0262
45 10 0.0254
-20 15 -0.0225
-15 15 -0.0184
-10 15 -0.0223
-5 15 -0.0155
0 15 -0.0144
5 15 0.0013
10 15 0.0117
15 15 0.0215
20 15 0.025
25 15 0.0203
30 15 0.02
35 15 0.0194
40 15 0.0219
45 15 0.0224
-20 20 -0.0287
-15 20 -0.0252
-10 20 -0.025
-5 20 -0.0168
0 20 -0.0151
5 20 0.0011
10 20 0.0112
15 20 0.0193
20 20 0.0229
25 20 0.0183
30 20 0.0174
35 20 0.0207
40 20 0.0209
45 20 0.0254
-20 25 -0.0254
-15 25 -0.0303
-10 25 -0.0288
-5 25 -0.0158
0 25 -0.0149
5 25 -0.0002
10 25 0.01
15 25 0.0165
20 25 0.0212
25 25 0.0198
30 25 0.0167
35 25 0.0179
40 25 0.0175
45 25 0.0262
-20 30 -0.0246
-15 30 -0.0307
-10 30 -0.0285
-5 30 -0.0153
0 30 -0.0144
5 30 -0.0021
10 30 0.0081
15 30 0.0142
20 30 0.0189
25 30 0.0164
30 30 0.0137
35 30 0.0144
40 30 0.0179
45 30 0.0245
