alpha beta Cy
-20 -30 0.3768
-15 -30 0.4059
-10 -30 0.4429
-5 -30 0.555
0 -30 0.618
5 -30 0.647
10 -30 0.62
15 -30 0.59
20 -30 0.563
25 -30 0.489
30 -30 0.361
35 -30 0.3
40 -30 0.3625
45 -30 0.139
50 -30 0.118
55 -30 0.143
60 -30 0.181
70 -30 0.232
80 -30 0.309
90 -30 0.309
-20 -25 0.3161
-15 -25 0.326
-10 -25 0.3885
-5 -25 0.479
0 -25 0.522
5 -25 0.544
10 -25 0.513
15 -25 0.468
20 -25 0.448
25 -25 0.408
30 -25 0.302
35 -25 0.266
40 -25 0.304
45 -25 0.065
50 -25 0.085
55 -25 0.105
60 -25 0.129
70 -25 0.199
80 -25 0.263
90 -25 0.251
-20 -20 0.2551
-15 -20 0.2691
-10 -20 0.3247
-5 -20 0.377
0 -20 0.417
5 -20 0.422
10 -20 0.417
15 -20 0.377
20 -20 0.323
25 -20 0.289
30 -20 0.215
35 -20 0.182
40 -20 0.218
45 -20 0.02
50 -20 0.073
55 -20 0.149
60 -20 0.166
70 -20 0.145
80 -20 0.22
90 -20 0.201
-20 -15 0.1935
-15 -15 0.2004
-10 -15 0.2524
-5 -15 0.283
0 -15 0.305
5 -15 0.305
10 -15 0.301
15 -15 0.289
20 -15 0.241
25 -15 0.218
30 -15 0.127
35 -15 0.118
40 -15 0.129
45 -15 0.065
50 -15 0.137
55 -15 0.142
60 -15 0.146
70 -15 0.118
80 -15 0.167
90 -15 0.158
-20 -10 0.1153
-15 -10 0.1372
-10 -10 0.1575
-5 -10 0.1845
0 -10 0.1976
5 -10 0.1954
10 -10 0.1961
15 -10 0.1852
20 -10 0.1661
25 -10 0.1528
30 -10 0.0786
35 -10 0.0565
40 -10 -0.0097
45 -10 0.0538
50 -10 0.068
55 -10 0.0799
60 -10 0.0807
70 -10 0.0785
80 -10 0.1131
90 -10 0.1101
-20 -8 0.0941
-15 -8 0.1079
-10 -8 0.1218
-5 -8 0.1461
0 -8 0.1515
5 -8 0.1533
10 -8 0.1542
15 -8 0.1488
20 -8 0.1351
25 -8 0.1294
30 -8 0.0916
35 -8 0.0289
40 -8 -0.0314
45 -8 0.0368
50 -8 0.0599
55 -8 0.0621
60 -8 0.0628
70 -8 0.0652
80 -8 0.0906
90 -8 0.0855
-20 -6 0.0768
-15 -6 0.0793
-10 -6 0.0822
-5 -6 0.1067
0 -6 0.11
5 -6 0.1059
10 -6 0.1076
15 -6 0.1084
20 -6 0.0963
25 -6 0.0914
30 -6 0.077
35 -6 0.0359
40 -6 -0.0542
45 -6 0.0214
50 -6 0.0369
55 -6 0.0358
60 -6 0.0365
70 -6 0.0476
80 -6 0.0788
90 -6 0.067
-20 -4 0.0471
-15 -4 0.0482
-10 -4 0.0496
-5 -4 0.0674
0 -4 0.0688
5 -4 0.0693
10 -4 0.0693
15 -4 0.0667
20 -4 0.055
25 -4 0.0539
30 -4 0.0489
35 -4 0.0271
40 -4 -0.0485
45 -4 0.0154
50 -4 0.0213
55 -4 0.0155
60 -4 0.0123
70 -4 0.0275
80 -4 0.0533
90 -4 0.0458
-20 -2 0.0277
-15 -2 0.0215
-10 -2 0.0223
-5 -2 0.0337
0 -2 0.0333
5 -2 0.0257
10 -2 0.029
15 -2 0.0313
20 -2 0.0179
25 -2 0.0228
30 -2 0.0156
35 -2 -0.0028
40 -2 -0.0722
45 -2 0.0035
50 -2 0.0116
55 -2 0.0119
60 -2 0.0051
70 -2 0.0082
80 -2 0.0247
90 -2 0.0215
-20 0 0.0091
-15 0 0.004
-10 0 0.0062
-5 0 0.0012
0 0 -0.0038
5 0 -0.0074
10 0 -0.0055
15 0 0.0015
20 0 -0.0153
25 0 -0.0115
30 0 -0.0141
35 0 -0.0292
40 0 -0.0845
45 0 -0.0244
50 0 -0.0186
55 0 -0.0305
60 0 -0.0423
70 0 -0.0289
80 0 0.0035
90 0 0.0012
-20 2 -0.0141
-15 2 -0.0148
-10 2 -0.0062
-5 2 -0.0408
0 2 -0.0432
5 2 -0.0457
10 2 -0.0438
15 2 -0.0368
20 2 -0.0401
25 2 -0.045
30 2 -0.0447
35 2 -0.0506
40 2 -0.1165
45 2 -0.1112
50 2 -0.0364
55 2 -0.0392
60 2 -0.0471
70 2 -0.0402
80 2 -0.0168
90 2 -0.0251
-20 4 -0.0376
-15 4 -0.0362
-10 4 -0.0368
-5 4 -0.0751
0 4 -0.0802
5 4 -0.0893
10 4 -0.0841
15 4 -0.0755
20 4 -0.0711
25 4 -0.0792
30 4 -0.0788
35 4 -0.0805
40 4 -0.1329
45 4 -0.1292
50 4 -0.0977
55 4 -0.1023
60 4 -0.0994
70 4 -0.0589
80 4 -0.0326
90 4 -0.0406
-20 6 -0.0656
-15 6 -0.0641
-10 6 -0.073
-5 6 -0.1165
0 6 -0.1229
5 6 -0.1307
10 6 -0.1259
15 6 -0.1185
20 6 -0.1137
25 6 -0.1143
30 6 -0.1047
35 6 -0.1098
40 6 -0.1509
45 6 -0.1609
50 6 -0.1246
55 6 -0.137
60 6 -0.1263
70 6 -0.0766
80 6 -0.062
90 6 -0.0599
-20 8 -0.0987
-15 8 -0.0964
-10 8 -0.1109
-5 8 -0.1563
0 8 -0.1712
5 8 -0.1779
10 8 -0.1723
15 8 -0.1627
20 8 -0.1519
25 8 -0.1484
30 8 -0.13
35 8 -0.1263
40 8 -0.1803
45 8 -0.1785
50 8 -0.1363
55 8 -0.153
60 8 -0.147
70 8 -0.1004
80 8 -0.0769
90 8 -0.0824
-20 10 -0.133
-15 10 -0.1277
-10 10 -0.148
-5 10 -0.206
0 10 -0.2172
5 10 -0.2247
10 10 -0.2226
15 10 -0.2041
20 10 -0.1882
25 10 -0.1807
30 10 -0.1494
35 10 -0.1314
40 10 -0.192
45 10 -0.2074
50 10 -0.1694
55 10 -0.1773
60 10 -0.1665
70 10 -0.1148
80 10 -0.0992
90 10 -0.1056
-20 15 -0.213
-15 15 -0.189
-10 15 -0.242
-5 15 -0.3029
0 15 -0.3236
5 15 -0.3331
10 15 -0.3259
15 15 -0.3076
20 15 -0.2632
25 15 -0.2452
30 15 -0.1982
35 15 -0.1924
40 15 -0.2384
45 15 -0.2184
50 15 -0.2387
55 15 -0.2395
60 15 -0.2308
70 15 -0.1555
80 15 -0.1519
90 15 -0.1535
-20 20 -0.277
-15 20 -0.25
-10 20 -0.315
-5 20 -0.3989
0 20 -0.4353
5 20 -0.4504
10 20 -0.4402
15 20 -0.3951
20 20 -0.3433
25 20 -0.3159
30 20 -0.2884
35 20 -0.2574
40 20 -0.242
45 20 -0.175
50 20 -0.1751
55 20 -0.2458
60 20 -0.25
70 20 -0.1823
80 20 -0.204
90 20 -0.1974
-20 25 -0.337
-15 25 -0.315
-10 25 -0.378
-5 25 -0.5001
0 25 -0.5407
5 25 -0.558
10 25 -0.5368
15 25 -0.4853
20 25 -0.4695
25 25 -0.4356
30 25 -0.3741
35 25 -0.3433
40 25 -0.2652
45 25 -0.2195
50 25 -0.1865
55 25 -0.2014
60 25 -0.2142
70 25 -0.2367
80 25 -0.246
90 25 -0.2462
-20 30 -0.399
-15 30 -0.394
-10 30 -0.432
-5 30 -0.5782
0 30 -0.6438
5 30 -0.6588
10 30 -0.6426
15 30 -0.6085
20 30 -0.5851
25 30 -0.5145
30 30 -0.433
35 30 -0.378
40 30 -0.3087
45 30 -0.2906
50 30 -0.2194
55 30 -0.2412
60 30 -0.2522
70 30 -0.271
80 30 -0.2919
90 30 -0.3035
