alpha beta Cy_a20
-20 -30 0.3838
-15 -30 0.4012
-10 -30 0.4314
-5 -30 0.602
0 -30 0.659
5 -30 0.695
10 -30 0.666
15 -30 0.648
20 -30 0.572
25 -30 0.488
30 -30 0.3648
35 -30 0.2994
40 -30 0.0967
45 -30 0.081
50 -30 0.0761
55 -30 0.0959
60 -30 0.1232
70 -30 0.2272
80 -30 0.2981
90 -30 0.2845
-20 -25 0.3204
-15 -25 0.3333
-10 -25 0.3741
-5 -25 0.516
0 -25 0.563
5 -25 0.602
10 -25 0.58
15 -25 0.537
20 -25 0.482
25 -25 0.407
30 -25 0.3061
35 -25 0.242
40 -25 0.0825
45 -25 0.0531
50 -25 0.0531
55 -25 0.0721
60 -25 0.1021
70 -25 0.1961
80 -25 0.2535
90 -25 0.2302
-20 -20 0.2946
-15 -20 0.2847
-10 -20 0.3207
-5 -20 0.417
0 -20 0.449
5 -20 0.482
10 -20 0.466
15 -20 0.441
20 -20 0.386
25 -20 0.31
30 -20 0.2154
35 -20 0.1674
40 -20 0.0349
45 -20 0.0351
50 -20 0.0482
55 -20 0.1041
60 -20 0.1151
70 -20 0.1399
80 -20 0.2045
90 -20 0.18
-20 -15 0.2275
-15 -15 0.215
-10 -15 0.2418
-5 -15 0.316
0 -15 0.33
5 -15 0.351
10 -15 0.348
15 -15 0.33
20 -15 0.298
25 -15 0.238
30 -15 0.134
35 -15 0.1058
40 -15 0.0078
45 -15 0.0212
50 -15 0.0482
55 -15 0.0881
60 -15 0.0882
70 -15 0.088
80 -15 0.1432
90 -15 0.151
-20 -10 0.1467
-15 -10 0.1508
-10 -10 0.1741
-5 -10 0.2062
0 -10 0.213
5 -10 0.2172
10 -10 0.2238
15 -10 0.2204
20 -10 0.193
25 -10 0.159
30 -10 0.0845
35 -10 0.0417
40 -10 -0.031
45 -10 0.0102
50 -10 0.0154
55 -10 0.0241
60 -10 0.0311
70 -10 0.0531
80 -10 0.0976
90 -10 0.0998
-20 -8 0.12
-15 -8 0.1247
-10 -8 0.1349
-5 -8 0.1668
0 -8 0.1799
5 -8 0.182
10 -8 0.1879
15 -8 0.1801
20 -8 0.152
25 -8 0.1381
30 -8 0.0978
35 -8 0.0217
40 -8 -0.0492
45 -8 -0.0205
50 -8 0.0135
55 -8 0.0054
60 -8 0.0001
70 -8 0.0247
80 -8 0.0788
90 -8 0.0777
-20 -6 0.101
-15 -6 0.0954
-10 -6 0.1001
-5 -6 0.1288
0 -6 0.139
5 -6 0.1412
10 -6 0.1437
15 -6 0.139
20 -6 0.1166
25 -6 0.1047
30 -6 0.0869
35 -6 0.0334
40 -6 -0.0576
45 -6 -0.0229
50 -6 -0.0053
55 -6 -0.0056
60 -6 -0.0094
70 -6 0.0069
80 -6 0.0535
90 -6 0.0577
-20 -4 0.0717
-15 -4 0.0678
-10 -4 0.068
-5 -4 0.0892
0 -4 0.0963
5 -4 0.099
10 -4 0.1038
15 -4 0.0993
20 -4 0.075
25 -4 0.0727
30 -4 0.0608
35 -4 0.0285
40 -4 -0.0533
45 -4 -0.0361
50 -4 -0.0296
55 -4 -0.0441
60 -4 -0.0503
70 -4 -0.0224
80 -4 0.0446
90 -4 0.0351
-20 -2 0.05
-15 -2 0.0423
-10 -2 0.0377
-5 -2 0.0521
0 -2 0.0573
5 -2 0.0591
10 -2 0.0605
15 -2 0.0593
20 -2 0.0327
25 -2 0.0355
30 -2 0.029
35 -2 0.0024
40 -2 -0.0696
45 -2 -0.0442
50 -2 -0.0443
55 -2 -0.0575
60 -2 -0.0647
70 -2 -0.0421
80 -2 0.0136
90 -2 0.0111
-20 0 0.0281
-15 0 0.0197
-10 0 0.0222
-5 0 0.0164
0 0 0.0197
5 0 0.0214
10 0 0.0229
15 0 0.0237
20 0 0.0028
25 0 0.0026
30 0 0.0002
35 0 -0.0225
40 0 -0.084
45 0 -0.0494
50 0 -0.0598
55 0 -0.0849
60 0 -0.092
70 0 -0.0497
80 0 -0.0046
90 0 -0.0048
-20 2 0.0028
-15 2 0.0005
-10 2 0.0061
-5 2 -0.015
0 2 -0.0166
5 2 -0.0161
10 2 -0.0148
15 2 -0.0123
20 2 -0.02
25 2 -0.0283
30 2 -0.0287
35 2 -0.0446
40 2 -0.1036
45 2 -0.0912
50 2 -0.0783
55 2 -0.0894
60 2 -0.0976
70 2 -0.0801
80 2 -0.0404
90 2 -0.032
-20 4 -0.0154
-15 4 -0.0202
-10 4 -0.0245
-5 4 -0.0528
0 4 -0.0528
5 4 -0.0497
10 4 -0.0527
15 4 -0.0489
20 4 -0.051
25 4 -0.0604
30 4 -0.0586
35 4 -0.0699
40 4 -0.1271
45 4 -0.157
50 4 -0.1238
55 4 -0.1331
60 4 -0.1289
70 4 -0.089
80 4 -0.0582
90 4 -0.0476
-20 6 -0.0412
-15 6 -0.0461
-10 6 -0.0574
-5 6 -0.0877
0 6 -0.0957
5 6 -0.0954
10 6 -0.094
15 6 -0.0936
20 6 -0.0889
25 6 -0.0949
30 6 -0.0904
35 6 -0.0971
40 6 -0.146
45 6 -0.1801
50 6 -0.1508
55 6 -0.1645
60 6 -0.154
70 6 -0.0983
80 6 -0.0748
90 6 -0.077
-20 8 -0.0694
-15 8 -0.0809
-10 8 -0.0935
-5 8 -0.1308
0 8 -0.135
5 8 -0.138
10 8 -0.1373
15 8 -0.1332
20 8 -0.1273
25 8 -0.1305
30 8 -0.1165
35 8 -0.116
40 8 -0.1763
45 8 -0.1989
50 8 -0.1465
55 8 -0.1724
60 8 -0.1714
70 8 -0.1196
80 8 -0.095
90 8 -0.0989
-20 10 -0.0949
-15 10 -0.1126
-10 10 -0.129
-5 10 -0.1726
0 10 -0.1821
5 10 -0.183
10 10 -0.1887
15 10 -0.1799
20 10 -0.1667
25 10 -0.169
30 10 -0.1395
35 10 -0.1368
40 10 -0.1919
45 10 -0.2187
50 10 -0.2012
55 10 -0.2089
60 10 -0.195
70 10 -0.1425
80 10 -0.1186
90 10 -0.1204
-20 15 -0.176
-15 15 -0.177
-10 15 -0.1956
-5 15 -0.2831
0 15 -0.3
5 15 -0.3051
10 15 -0.3044
15 15 -0.2899
20 15 -0.2716
25 15 -0.2478
30 15 -0.189
35 15 -0.2009
40 15 -0.2328
45 15 -0.2301
50 15 -0.2347
55 15 -0.2714
60 15 -0.2546
70 15 -0.1745
80 15 -0.1638
90 15 -0.1735
-20 20 -0.244
-15 20 -0.247
-10 20 -0.274
-5 20 -0.3847
0 20 -0.419
5 20 -0.4355
10 20 -0.4332
15 20 -0.4017
20 20 -0.3586
25 20 -0.3194
30 20 -0.2704
35 20 -0.2625
40 20 -0.2557
45 20 -0.2058
50 20 -0.2328
55 20 -0.2862
60 20 -0.2846
70 20 -0.2219
80 20 -0.2218
90 20 -0.2153
-20 25 -0.27
-15 25 -0.295
-10 25 -0.33
-5 25 -0.4831
0 25 -0.5326
5 25 -0.5553
10 25 -0.5456
15 25 -0.4962
20 25 -0.4536
25 25 -0.4177
30 25 -0.3614
35 25 -0.3371
40 25 -0.3029
45 25 -0.2404
50 25 -0.2361
55 25 -0.2529
60 25 -0.2656
70 25 -0.278
80 25 -0.2731
90 25 -0.2572
-20 30 -0.334
-15 30 -0.365
-10 30 -0.385
-5 30 -0.5657
0 30 -0.6294
5 30 -0.647
10 30 -0.6322
15 30 -0.6006
20 30 -0.5415
25 30 -0.4989
30 30 -0.4198
35 30 -0.3945
40 30 -0.3183
45 30 -0.3097
50 30 -0.262
55 30 -0.2759
60 30 -0.2868
70 30 -0.3083
80 30 -0.3171
90 30 -0.3173
