alpha beta Cy_a20_lef
-20 -30 0.386
-15 -30 0.4337
-10 -30 0.4861
-5 -30 0.632
0 -30 0.666
5 -30 0.666
10 -30 0.645
15 -30 0.59
20 -30 0.488
25 -30 0.492
30 -30 0.332
35 -30 0.266
40 -30 0.132
45 -30 0.102
-20 -25 0.3207
-15 -25 0.3695
-10 -25 0.4153
-5 -25 0.547
0 -25 0.575
5 -25 0.579
10 -25 0.562
15 -25 0.537
20 -25 0.411
25 -25 0.363
30 -25 0.315
35 -25 0.223
40 -25 0.087
45 -25 0.052
-20 -20 0.2777
-15 -20 0.328
-10 -20 0.3594
-5 -20 0.441
0 -20 0.454
5 -20 0.459
10 -20 0.458
15 -20 0.457
20 -20 0.34
25 -20 0.272
30 -20 0.224
35 -20 0.132
40 -20 0.074
45 -20 0.069
-20 -15 0.1838
-15 -15 0.2622
-10 -15 0.2824
-5 -15 0.332
0 -15 0.337
5 -15 0.335
10 -15 0.336
15 -15 0.33
20 -15 0.272
25 -15 0.181
30 -15 0.132
35 -15 0.084
40 -15 0.05
45 -15 0.065
-20 -10 0.129
-15 -10 0.2002
-10 -10 0.2069
-5 -10 0.2109
0 -10 0.2128
5 -10 0.2162
10 -10 0.219
15 -10 0.2147
20 -10 0.1807
25 -10 0.1246
30 -10 0.0719
35 -10 0.0274
40 -10 0.0012
45 -10 0.0456
-20 -8 0.1215
-15 -8 0.1669
-10 -8 0.1715
-5 -8 0.1775
0 -8 0.1776
5 -8 0.1801
10 -8 0.1828
15 -8 0.178
20 -8 0.1512
25 -8 0.1206
30 -8 0.0731
35 -8 0.0248
40 -8 -0.0165
45 -8 0.0212
-20 -6 0.1051
-15 -6 0.1309
-10 -6 0.1318
-5 -6 0.1379
0 -6 0.1396
5 -6 0.1401
10 -6 0.1381
15 -6 0.1337
20 -6 0.115
25 -6 0.0935
30 -6 0.065
35 -6 0.0229
40 -6 -0.0197
45 -6 0.0018
-20 -4 0.0758
-15 -4 0.0961
-10 -4 0.0978
-5 -4 0.094
0 -4 0.0957
5 -4 0.0992
10 -4 0.0955
15 -4 0.095
20 -4 0.0776
25 -4 0.0676
30 -4 0.0458
35 -4 0.0129
40 -4 -0.0465
45 -4 -0.026
-20 -2 0.0498
-15 -2 0.0619
-10 -2 0.0646
-5 -2 0.0585
0 -2 0.0565
5 -2 0.0539
10 -2 0.0562
15 -2 0.0505
20 -2 0.0466
25 -2 0.0338
30 -2 0.0239
35 -2 -0.008
40 -2 -0.0602
45 -2 -0.0392
-20 0 0.0247
-15 0 0.0268
-10 0 0.0305
-5 0 0.0202
0 0 0.0209
5 0 0.019
10 0 0.0164
15 0 0.0151
20 0 0.0162
25 0 0.001
30 0 -0.0032
35 0 -0.0215
40 0 -0.0807
45 0 -0.0611
-20 2 -0.0067
-15 2 -0.007
-10 2 -0.0061
-5 2 -0.0132
0 2 -0.0179
5 2 -0.0204
10 2 -0.0231
15 2 -0.0223
20 2 -0.0156
25 2 -0.0261
30 2 -0.0273
35 2 -0.052
40 2 -0.1014
45 2 -0.1056
-20 4 -0.0334
-15 4 -0.0415
-10 4 -0.0415
-5 4 -0.0538
0 4 -0.0552
5 4 -0.0569
10 4 -0.0582
15 4 -0.0583
20 4 -0.0489
25 4 -0.0531
30 4 -0.0595
35 4 -0.0758
40 4 -0.129
45 4 -0.1607
-20 6 -0.0645
-15 6 -0.0775
-10 6 -0.0769
-5 6 -0.0901
0 6 -0.0964
5 6 -0.098
10 6 -0.1041
15 6 -0.0998
20 6 -0.0836
25 6 -0.0801
30 6 -0.0801
35 6 -0.1105
40 6 -0.1431
45 6 -0.1729
-20 8 -0.0939
-15 8 -0.1183
-10 8 -0.113
-5 8 -0.1326
0 8 -0.1347
5 8 -0.1424
10 8 -0.1462
15 8 -0.1438
20 8 -0.115
25 8 -0.1061
30 8 -0.1
35 8 -0.1253
40 8 -0.1644
45 8 -0.1961
-20 10 -0.1248
-15 10 -0.156
-10 10 -0.1533
-5 10 -0.1786
0 10 -0.1802
5 10 -0.1904
10 10 -0.1962
15 10 -0.1882
20 10 -0.1545
25 10 -0.1274
30 10 -0.1137
35 10 -0.1542
40 10 -0.1864
45 10 -0.2268
-20 15 -0.179
-15 15 -0.217
-10 15 -0.231
-5 15 -0.2971
0 15 -0.3049
5 15 -0.3091
10 15 -0.3136
15 15 -0.3026
20 15 -0.245
25 15 -0.1823
30 15 -0.1726
35 15 -0.2105
40 15 -0.2334
45 15 -0.2456
-20 20 -0.273
-15 20 -0.284
-10 20 -0.305
-5 20 -0.4064
0 20 -0.4233
5 20 -0.4328
10 20 -0.4322
15 20 -0.4297
20 20 -0.3136
25 20 -0.2714
30 20 -0.2629
35 20 -0.2563
40 20 -0.2568
45 20 -0.2495
-20 25 -0.316
-15 25 -0.325
-10 25 -0.363
-5 25 -0.5121
0 25 -0.5437
5 25 -0.5514
10 25 -0.5393
15 25 -0.5085
20 25 -0.3841
25 25 -0.3631
30 25 -0.354
35 25 -0.2938
40 25 -0.2685
45 25 -0.2313
-20 30 -0.381
-15 30 -0.389
-10 30 -0.432
-5 30 -0.5958
0 30 -0.6344
5 30 -0.6382
10 30 -0.6208
15 30 -0.5603
20 30 -0.4615
25 30 -0.493
30 30 -0.3701
35 30 -0.3373
40 30 -0.3138
45 30 -0.2828
