alpha beta Cy_lef
-20 -30 0.3808
-15 -30 0.448
-10 -30 0.5088
-5 -30 0.569
0 -30 0.629
5 -30 0.635
10 -30 0.606
15 -30 0.534
20 -30 0.472
25 -30 0.477
30 -30 0.329
35 -30 0.211
40 -30 0.127
45 -30 0.16
-20 -25 0.3107
-15 -25 0.3909
-10 -25 0.4529
-5 -25 0.492
0 -25 0.531
5 -25 0.532
10 -25 0.512
15 -25 0.48
20 -25 0.372
25 -25 0.36
30 -25 0.308
35 -25 0.194
40 -25 0.107
45 -25 0.111
-20 -20 0.2533
-15 -20 0.3361
-10 -20 0.3759
-5 -20 0.392
0 -20 0.417
5 -20 0.422
10 -20 0.423
15 -20 0.405
20 -20 0.292
25 -20 0.24
30 -20 0.214
35 -20 0.143
40 -20 0.086
45 -20 0.106
-20 -15 0.1808
-15 -15 0.2748
-10 -15 0.2984
-5 -15 0.295
0 -15 0.305
5 -15 0.305
10 -15 0.307
15 -15 0.299
20 -15 0.227
25 -15 0.147
30 -15 0.125
35 -15 0.098
40 -15 0.058
45 -15 0.118
-20 -10 0.1194
-15 -10 0.1938
-10 -10 0.1959
-5 -10 0.1933
0 -10 0.2021
5 -10 0.1995
10 -10 0.2008
15 -10 0.1947
20 -10 0.1546
25 -10 0.1068
30 -10 0.0679
35 -10 0.0449
40 -10 0.02
45 -10 0.0969
-20 -8 0.099
-15 -8 0.1568
-10 -8 0.1563
-5 -8 0.1497
0 -8 0.1579
5 -8 0.1583
10 -8 0.1559
15 -8 0.15
20 -8 0.1224
25 -8 0.1066
30 -8 0.0655
35 -8 0.0275
40 -8 0.0031
45 -8 0.0713
-20 -6 0.0953
-15 -6 0.118
-10 -6 0.1184
-5 -6 0.1132
0 -6 0.1113
5 -6 0.1127
10 -6 0.1115
15 -6 0.1092
20 -6 0.0889
25 -6 0.0785
30 -6 0.0611
35 -6 0.0208
40 -6 -0.0113
45 -6 0.0409
-20 -4 0.0688
-15 -4 0.0813
-10 -4 0.0845
-5 -4 0.073
0 -4 0.0726
5 -4 0.0728
10 -4 0.0712
15 -4 0.0642
20 -4 0.056
25 -4 0.0477
30 -4 0.0403
35 -4 0.008
40 -4 -0.0201
45 -4 0.0198
-20 -2 0.0376
-15 -2 0.0448
-10 -2 0.0465
-5 -2 0.0376
0 -2 0.0371
5 -2 0.0347
10 -2 0.0298
15 -2 0.0301
20 -2 0.0252
25 -2 0.0178
30 -2 0.0141
35 -2 -0.0146
40 -2 -0.0518
45 -2 0.0042
-20 0 0.0116
-15 0 0.0112
-10 0 0.0088
-5 0 0.0007
0 0 -0.0003
5 0 -0.0047
10 0 -0.0072
15 0 -0.0076
20 0 -0.003
25 0 -0.0108
30 0 -0.0146
35 0 -0.0327
40 0 -0.0706
45 0 -0.0141
-20 2 -0.0142
-15 2 -0.0225
-10 2 -0.0251
-5 2 -0.0356
0 2 -0.0377
5 2 -0.0399
10 2 -0.045
15 2 -0.0444
20 2 -0.0343
25 2 -0.0409
30 2 -0.0435
35 2 -0.0541
40 2 -0.0992
45 2 -0.0685
-20 4 -0.0476
-15 4 -0.059
-10 4 -0.062
-5 4 -0.0758
0 4 -0.0779
5 4 -0.0832
10 4 -0.0846
15 4 -0.086
20 4 -0.07
25 4 -0.0674
30 4 -0.0673
35 4 -0.0864
40 4 -0.1222
45 4 -0.107
-20 6 -0.0747
-15 6 -0.0988
-10 6 -0.102
-5 6 -0.1162
0 6 -0.1226
5 6 -0.1236
10 6 -0.13
15 6 -0.127
20 6 -0.1053
25 6 -0.1033
30 6 -0.087
35 6 -0.1135
40 6 -0.1443
45 6 -0.1453
-20 8 -0.1093
-15 8 -0.1388
-10 8 -0.1425
-5 8 -0.1637
0 8 -0.1715
5 8 -0.1736
10 8 -0.1736
15 8 -0.1712
20 8 -0.1404
25 8 -0.1234
30 8 -0.1085
35 8 -0.1336
40 8 -0.1644
45 8 -0.1722
-20 10 -0.1388
-15 10 -0.179
-10 10 -0.1861
-5 10 -0.2125
0 10 -0.2161
5 10 -0.2197
10 10 -0.2225
15 10 -0.2172
20 10 -0.174
25 10 -0.1429
30 10 -0.1282
35 10 -0.1553
40 10 -0.1838
45 10 -0.1907
-20 15 -0.199
-15 15 -0.26
-10 15 -0.289
-5 15 -0.3141
0 15 -0.3199
5 15 -0.3265
10 15 -0.3268
15 15 -0.3219
20 15 -0.2482
25 15 -0.1822
30 15 -0.184
35 15 -0.2093
40 15 -0.2209
45 15 -0.2118
-20 20 -0.272
-15 20 -0.322
-10 20 -0.367
-5 20 -0.4111
0 20 -0.4311
5 20 -0.4411
10 20 -0.4425
15 20 -0.4299
20 20 -0.3119
25 20 -0.2755
30 20 -0.2735
35 20 -0.2535
40 20 -0.2497
45 20 -0.2
-20 25 -0.328
-15 25 -0.377
-10 25 -0.444
-5 25 -0.5123
0 25 -0.5446
5 25 -0.5495
10 25 -0.5309
15 25 -0.5023
20 25 -0.3899
25 25 -0.3958
30 25 -0.3657
35 25 -0.3041
40 25 -0.2702
45 25 -0.2041
-20 30 -0.399
-15 30 -0.434
-10 30 -0.499
-5 30 -0.5882
0 30 -0.6429
5 30 -0.6543
10 30 -0.6249
15 30 -0.5575
20 30 -0.491
25 30 -0.5133
30 30 -0.3888
35 30 -0.3228
40 30 -0.2901
45 30 -0.2526
