alpha beta Cy_r30
-20 -30 0.4196
-15 -30 0.4427
-10 -30 0.4833
-5 -30 0.606
0 -30 0.635
5 -30 0.66
10 -30 0.696
15 -30 0.671
20 -30 0.655
25 -30 0.57
30 -30 0.4
35 -30 0.334
40 -30 0.152
45 -30 0.189
50 -30 0.142
55 -30 0.159
60 -30 0.176
70 -30 0.24
80 -30 0.295
90 -30 0.3
-20 -25 0.351
-15 -25 0.3724
-10 -25 0.4258
-5 -25 0.54
0 -25 0.566
5 -25 0.599
10 -25 0.596
15 -25 0.557
20 -25 0.543
25 -25 0.48
30 -25 0.34
35 -25 0.315
40 -25 0.162
45 -25 0.119
50 -25 0.097
55 -25 0.119
60 -25 0.141
70 -25 0.2
80 -25 0.248
90 -25 0.241
-20 -20 0.2977
-15 -20 0.3174
-10 -20 0.379
-5 -20 0.475
0 -20 0.496
5 -20 0.516
10 -20 0.524
15 -20 0.477
20 -20 0.438
25 -20 0.392
30 -20 0.264
35 -20 0.253
40 -20 0.119
45 -20 0.089
50 -20 0.093
55 -20 0.16
60 -20 0.175
70 -20 0.17
80 -20 0.208
90 -20 0.191
-20 -15 0.2414
-15 -15 0.2511
-10 -15 0.3075
-5 -15 0.364
0 -15 0.38
5 -15 0.396
10 -15 0.408
15 -15 0.363
20 -15 0.349
25 -15 0.307
30 -15 0.192
35 -15 0.191
40 -15 0.091
45 -15 0.103
50 -15 0.11
55 -15 0.145
60 -15 0.146
70 -15 0.144
80 -15 0.155
90 -15 0.158
-20 -10 0.1906
-15 -10 0.2112
-10 -10 0.232
-5 -10 0.2611
0 -10 0.2698
5 -10 0.2806
10 -10 0.2908
15 -10 0.2599
20 -10 0.2371
25 -10 0.2184
30 -10 0.1182
35 -10 0.1029
40 -10 0.0369
45 -10 0.0721
50 -10 0.076
55 -10 0.093
60 -10 0.0952
70 -10 0.0874
80 -10 0.111
90 -10 0.1054
-20 -8 0.1827
-15 -8 0.2011
-10 -8 0.2096
-5 -8 0.2271
0 -8 0.2407
5 -8 0.25
10 -8 0.2407
15 -8 0.2368
20 -8 0.2163
25 -8 0.2124
30 -8 0.1428
35 -8 0.0868
40 -8 0.0042
45 -8 0.0605
50 -8 0.0743
55 -8 0.0694
60 -8 0.0644
70 -8 0.0679
80 -8 0.0902
90 -8 0.0784
-20 -6 0.176
-15 -6 0.1772
-10 -6 0.178
-5 -6 0.1901
0 -6 0.1979
5 -6 0.2038
10 -6 0.1979
15 -6 0.1999
20 -6 0.1941
25 -6 0.1925
30 -6 0.1596
35 -6 0.0927
40 -6 0.0064
45 -6 0.0554
50 -6 0.0617
55 -6 0.0464
60 -6 0.0423
70 -6 0.0561
80 -6 0.0731
90 -6 0.0628
-20 -4 0.1446
-15 -4 0.1445
-10 -4 0.1412
-5 -4 0.1528
0 -4 0.1572
5 -4 0.1616
10 -4 0.1574
15 -4 0.1597
20 -4 0.1455
25 -4 0.1638
30 -4 0.1458
35 -4 0.1048
40 -4 -0.0024
45 -4 0.0611
50 -4 0.0325
55 -4 0.0102
60 -4 0.0019
70 -4 0.0254
80 -4 0.0578
90 -4 0.0482
-20 -2 0.1264
-15 -2 0.1184
-10 -2 0.1105
-5 -2 0.1192
0 -2 0.1202
5 -2 0.119
10 -2 0.1152
15 -2 0.1196
20 -2 0.1181
25 -2 0.1249
30 -2 0.1217
35 -2 0.0829
40 -2 -0.0064
45 -2 0.0425
50 -2 0.029
55 -2 0.0061
60 -2 -0.0112
70 -2 -0.0017
80 -2 0.0328
90 -2 0.0252
-20 0 0.0945
-15 0 0.094
-10 0 0.0931
-5 0 0.0827
0 0 0.0821
5 0 0.0849
10 0 0.0796
15 0 0.0849
20 0 0.0783
25 0 0.0879
30 0 0.093
35 0 0.0593
40 0 -0.0096
45 0 0.0143
50 0 0.0065
55 0 -0.0183
60 0 -0.0357
70 0 -0.0228
80 0 0.021
90 0 0.0064
-20 2 0.0772
-15 2 0.0772
-10 2 0.0779
-5 2 0.0522
0 2 0.0492
5 2 0.05
10 2 0.0456
15 2 0.0492
20 2 0.0473
25 2 0.0546
30 2 0.0568
35 2 0.0439
40 2 -0.0377
45 2 -0.0656
50 2 -0.0306
55 2 -0.0384
60 2 -0.0464
70 2 -0.039
80 2 -0.0034
90 2 -0.0112
-20 4 0.0538
-15 4 0.0562
-10 4 0.054
-5 4 0.0158
0 4 0.0147
5 4 0.0101
10 4 0.0106
15 4 0.0136
20 4 0.0199
25 4 0.0232
30 4 0.0278
35 4 0.0179
40 4 -0.0541
