alpha beta ele Cz
-20 -30 -25 1.194
-15 -30 -25 0.996
-10 -30 -25 0.793
-5 -30 -25 0.41
0 -30 -25 0.18
5 -30 -25 -0.09
10 -30 -25 -0.34
15 -30 -25 -0.61
20 -30 -25 -0.87
25 -30 -25 -1.17
30 -30 -25 -1.315
35 -30 -25 -1.52
40 -30 -25 -1.6
45 -30 -25 -1.56
50 -30 -25 -1.3
55 -30 -25 -1.705
60 -30 -25 -1.7
70 -30 -25 -1.69
80 -30 -25 -1.935
90 -30 -25 -1.96
-20 -25 -25 1.272
-15 -25 -25 1.057
-10 -25 -25 0.832
-5 -25 -25 0.41
0 -25 -25 0.155
5 -25 -25 -0.13
10 -25 -25 -0.405
15 -25 -25 -0.665
20 -25 -25 -0.95
25 -25 -25 -1.235
30 -25 -25 -1.38
35 -25 -25 -1.57
40 -25 -25 -1.67
45 -25 -25 -1.615
50 -25 -25 -1.48
55 -25 -25 -1.795
60 -25 -25 -1.74
70 -25 -25 -1.74
80 -25 -25 -1.95
90 -25 -25 -1.935
-20 -20 -25 1.311
-15 -20 -25 1.09
-10 -20 -25 0.841
-5 -20 -25 0.42
0 -20 -25 0.135
5 -20 -25 -0.16
10 -20 -25 -0.46
15 -20 -25 -0.72
20 -20 -25 -1.015
25 -20 -25 -1.295
30 -20 -25 -1.445
35 -20 -25 -1.635
40 -20 -25 -1.73
45 -20 -25 -1.685
50 -20 -25 -1.6
55 -20 -25 -1.825
60 -20 -25 -1.73
70 -20 -25 -1.735
80 -20 -25 -1.945
90 -20 -25 -1.85
-20 -15 -25 1.356
-15 -15 -25 1.121
-10 -15 -25 0.856
-5 -15 -25 0.425
0 -15 -25 0.13
5 -15 -25 -0.18
10 -15 -25 -0.498
15 -15 -25 -0.77
20 -15 -25 -1.08
25 -15 -25 -1.355
30 -15 -25 -1.515
35 -15 -25 -1.71
40 -15 -25 -1.81
45 -15 -25 -1.75
50 -15 -25 -1.72
55 -15 -25 -1.85
60 -15 -25 -1.895
70 -15 -25 -1.83
80 -15 -25 -1.92
90 -15 -25 -1.87
-20 -10 -25 1.396
-15 -10 -25 1.128
-10 -10 -25 0.887
-5 -10 -25 0.451
0 -10 -25 0.141
5 -10 -25 -0.184
10 -10 -25 -0.511
15 -10 -25 -0.806
20 -10 -25 -1.122
25 -10 -25 -1.406
30 -10 -25 -1.581
35 -10 -25 -1.788
40 -10 -25 -1.891
45 -10 -25 -1.854
50 -10 -25 -1.88
55 -10 -25 -1.938
60 -10 -25 -1.933
70 -10 -25 -1.813
80 -10 -25 -1.872
90 -10 -25 -1.953
-20 -8 -25 1.347
-15 -8 -25 1.129
-10 -8 -25 0.8888
-5 -8 -25 0.464
0 -8 -25 0.149
5 -8 -25 -0.186
10 -8 -25 -0.518
15 -8 -25 -0.818
20 -8 -25 -1.137
25 -8 -25 -1.405
30 -8 -25 -1.671
35 -8 -25 -1.818
40 -8 -25 -1.907
45 -8 -25 -1.991
50 -8 -25 -1.924
55 -8 -25 -1.959
60 -8 -25 -1.88
70 -8 -25 -1.864
80 -8 -25 -1.838
90 -8 -25 -2.036
-20 -6 -25 1.339
-15 -6 -25 1.131
-10 -6 -25 0.899
-5 -6 -25 0.474
0 -6 -25 0.154
5 -6 -25 -0.182
10 -6 -25 -0.526
15 -6 -25 -0.837
20 -6 -25 -1.149
25 -6 -25 -1.429
30 -6 -25 -1.697
35 -6 -25 -1.838
40 -6 -25 -1.911
45 -6 -25 -2.033
50 -6 -25 -1.913
55 -6 -25 -2.012
60 -6 -25 -1.907
70 -6 -25 -2.004
80 -6 -25 -1.908
90 -6 -25 -2.013
-20 -4 -25 1.314
-15 -4 -25 1.143
-10 -4 -25 0.909
-5 -4 -25 0.472
0 -4 -25 0.153
5 -4 -25 -0.187
10 -4 -25 -0.535
15 -4 -25 -0.849
20 -4 -25 -1.154
25 -4 -25 -1.441
30 -4 -25 -1.714
35 -4 -25 -1.889
40 -4 -25 -1.983
45 -4 -25 -1.939
50 -4 -25 -1.866
55 -4 -25 -1.999
60 -4 -25 -1.898
70 -4 -25 -1.95
80 -4 -25 -1.949
90 -4 -25 -1.968
-20 -2 -25 1.321
-15 -2 -25 1.158
-10 -2 -25 0.915
-5 -2 -25 0.474
0 -2 -25 0.151
5 -2 -25 -0.187
10 -2 -25 -0.534
15 -2 -25 -0.851
20 -2 -25 -1.156
25 -2 -25 -1.446
30 -2 -25 -1.719
35 -2 -25 -1.91
40 -2 -25 -2.016
45 -2 -25 -2.003
50 -2 -25 -1.879
55 -2 -25 -1.969
60 -2 -25 -1.892
70 -2 -25 -1.925
80 -2 -25 -1.826
90 -2 -25 -1.99
-20 0 -25 1.315
-15 0 -25 1.171
-10 0 -25 0.925
-5 0 -25 0.469
0 0 -25 0.155
5 0 -25 -0.189
10 0 -25 -0.53
15 0 -25 -0.856
20 0 -25 -1.169
25 0 -25 -1.446
30 0 -25 -1.717
35 0 -25 -1.909
40 0 -25 -2.037
45 0 -25 -1.985
50 0 -25 -1.959
55 0 -25 -2.01
60 0 -25 -1.916
70 0 -25 -1.957
80 0 -25 -1.816
90 0 -25 -1.978
-20 2 -25 1.337
-15 2 -25 1.177
-10 2 -25 0.91
-5 2 -25 0.46
0 2 -25 0.154
5 2 -25 -0.193
10 2 -25 -0.532
15 2 -25 -0.854
20 2 -25 -1.151
25 2 -25 -1.452
30 2 -25 -1.72
35 2 -25 -1.909
40 2 -25 -1.932
45 2 -25 -2.02
50 2 -25 -1.992
55 2 -25 -1.965
60 2 -25 -1.936
70 2 -25 -1.905
80 2 -25 -1.837
90 2 -25 -1.957
-20 4 -25 1.332
-15 4 -25 1.142
-10 4 -25 0.892
-5 4 -25 0.454
0 4 -25 0.151
5 4 -25 -0.191
10 4 -25 -0.525
15 4 -25 -0.855
20 4 -25 -1.148
25 4 -25 -1.449
30 4 -25 -1.709
35 4 -25 -1.893
40 4 -25 -1.99
45 4 -25 -2.04
50 4 -25 -2.017
55 4 -25 -1.847
60 4 -25 -1.877
70 4 -25 -1.833
80 4 -25 -1.755
90 4 -25 -1.956
-20 6 -25 1.34
-15 6 -25 1.148
-10 6 -25 0.889
-5 6 -25 0.447
0 6 -25 0.147
5 6 -25 -0.193
10 6 -25 -0.52
15 6 -25 -0.855
20 6 -25 -1.146
25 6 -25 -1.455
30 6 -25 -1.684
35 6 -25 -1.891
40 6 -25 -1.969
45 6 -25 -1.913
50 6 -25 -2.03
55 6 -25 -1.895
60 6 -25 -1.933
70 6 -25 -1.932
80 6 -25 -1.848
90 6 -25 -1.962
-20 8 -25 1.338
-15 8 -25 1.131
-10 8 -25 0.881
-5 8 -25 0.446
0 8 -25 0.138
5 8 -25 -0.195
10 8 -25 -0.521
15 8 -25 -0.836
20 8 -25 -1.135
25 8 -25 -1.44
30 8 -25 -1.67
35 8 -25 -1.846
40 8 -25 -1.836
45 8 -25 -1.918
50 8 -25 -1.942
55 8 -25 -1.928
60 8 -25 -1.952
70 8 -25 -1.952
80 8 -25 -1.858
90 8 -25 -2.048
-20 10 -25 1.294
-15 10 -25 1.137
-10 10 -25 0.875
-5 10 -25 0.44
0 10 -25 0.129
5 10 -25 -0.194
10 10 -25 -0.515
