alpha beta Cz_lef
-20 -30 1.183
-15 -30 0.96
-10 -30 0.709
-5 -30 0.222
0 -30 -0.066
5 -30 -0.317
10 -30 -0.569
15 -30 -0.853
20 -30 -1.106
25 -30 -1.314
30 -30 -1.496
35 -30 -1.594
40 -30 -1.683
45 -30 -1.664
-20 -25 1.246
-15 -25 1.018
-10 -25 0.71
-5 -25 0.216
0 -25 -0.084
5 -25 -0.347
10 -25 -0.619
15 -25 -0.929
20 -25 -1.168
25 -25 -1.407
30 -25 -1.51
35 -25 -1.694
40 -25 -1.755
45 -25 -1.783
-20 -20 1.279
-15 -20 1.055
-10 -20 0.702
-5 -20 0.231
0 -20 -0.09
5 -20 -0.39
10 -20 -0.679
15 -20 -1.018
20 -20 -1.228
25 -20 -1.465
30 -20 -1.589
35 -20 -1.807
40 -20 -1.912
45 -20 -1.859
-20 -15 1.29
-15 -15 1.093
-10 -15 0.704
-5 -15 0.227
0 -15 -0.105
5 -15 -0.414
10 -15 -0.703
15 -15 -1.07
20 -15 -1.314
25 -15 -1.506
30 -15 -1.692
35 -15 -1.875
40 -15 -1.999
45 -15 -1.962
-20 -10 1.369
-15 -10 1.058
-10 -10 0.701
-5 -10 0.24
0 -10 -0.104
5 -10 -0.42
10 -10 -0.728
15 -10 -1.098
20 -10 -1.348
25 -10 -1.564
30 -10 -1.775
35 -10 -1.957
40 -10 -2.111
45 -10 -2.03
-20 -8 1.364
-15 -8 1.039
-10 -8 0.71
-5 -8 0.243
0 -8 -0.099
5 -8 -0.417
10 -8 -0.765
15 -8 -1.116
20 -8 -1.359
25 -8 -1.598
30 -8 -1.814
35 -8 -1.976
40 -8 -2.149
45 -8 -2.129
-20 -6 1.297
-15 -6 1.031
-10 -6 0.73
-5 -6 0.244
0 -6 -0.107
5 -6 -0.417
10 -6 -0.772
15 -6 -1.1144
20 -6 -1.362
25 -6 -1.628
30 -6 -1.846
35 -6 -2.032
40 -6 -2.147
45 -6 -1.917
-20 -4 1.277
-15 -4 1.019
-10 -4 0.729
-5 -4 0.249
0 -4 -0.099
5 -4 -0.421
10 -4 -0.774
15 -4 -1.151
20 -4 -1.352
25 -4 -1.647
30 -4 -1.875
35 -4 -2.06
40 -4 -2.204
45 -4 -2.143
-20 -2 1.276
-15 -2 1.025
-10 -2 0.729
-5 -2 0.249
0 -2 -0.099
5 -2 -0.424
10 -2 -0.772
15 -2 -1.142
20 -2 -1.357
25 -2 -1.646
30 -2 -1.879
35 -2 -2.07
40 -2 -2.207
45 -2 -2.05
-20 0 1.256
-15 0 1.035
-10 0 0.725
-5 0 0.248
0 0 -0.1
5 0 -0.428
10 0 -0.774
15 0 -1.139
20 0 -1.355
25 0 -1.65
30 0 -1.883
35 0 -2.077
40 0 -2.204
45 0 -2.208
-20 2 1.281
-15 2 1.033
-10 2 0.729
-5 2 0.248
0 2 -0.101
5 2 -0.421
10 2 -0.77
15 2 -1.135
20 2 -1.371
25 2 -1.642
30 2 -1.891
35 2 -2.038
40 2 -2.205
45 2 -2.201
-20 4 1.28
-15 4 1.042
-10 4 0.728
-5 4 0.242
0 4 -0.104
5 4 -0.428
10 4 -0.767
15 4 -1.118
20 4 -1.376
25 4 -1.641
30 4 -1.876
35 4 -2.039
40 4 -2.195
45 4 -2.182
-20 6 1.312
-15 6 1.043
-10 6 0.728
-5 6 0.239
0 6 -0.104
5 6 -0.422
10 6 -0.761
15 6 -1.112
20 6 -1.37
25 6 -1.618
30 6 -1.843
35 6 -2.028
40 6 -2.193
45 6 -2.077
-20 8 1.315
-15 8 1.056
-10 8 0.723
-5 8 0.235
0 8 -0.104
5 8 -0.423
10 8 -0.754
15 8 -1.107
20 8 -1.379
25 8 -1.599
30 8 -1.838
35 8 -2.005
40 8 -2.174
45 8 -2.209
-20 10 1.306
-15 10 1.056
-10 10 0.711
-5 10 0.229
0 10 -0.106
5 10 -0.425
10 10 -0.756
15 10 -1.099
20 10 -1.399
25 10 -1.585
30 10 -1.811
35 10 -1.986
40 10 -2.133
45 10 -2.126
-20 15 1.227
-15 15 1.091
-10 15 0.714
-5 15 0.216
0 15 -0.107
5 15 -0.419
10 15 -0.731
15 15 -1.071
20 15 -1.365
25 15 -1.527
30 15 -1.728
35 15 -1.904
40 15 -2.021
45 15 -2.058
-20 20 1.216
-15 20 1.053
-10 20 0.712
-5 20 0.22
0 20 -0.092
5 20 -0.395
10 20 -0.707
15 20 -1.019
20 20 -1.279
25 20 -1.486
30 20 -1.625
35 20 -1.836
40 20 -1.934
45 20 -1.955
-20 25 1.183
-15 25 1.016
-10 25 0.72
-5 25 0.205
0 25 -0.086
5 25 -0.352
10 25 -0.645
15 25 -0.93
20 25 -1.219
25 25 -1.428
30 25 -1.546
35 25 -1.713
40 25 -1.777
45 25 -1.879
-20 30 1.12
-15 30 0.958
-10 30 0.719
-5 30 0.211
0 30 -0.068
5 30 -0.322
10 30 -0.597
15 30 -0.854
20 30 -1.157
25 30 -1.335
30 30 -1.532
35 30 -1.623
40 30 -1.705
45 30 -1.76
